MXP|CDR,|CDR|AIA|DEN|EWR|MXP|
MXP|FMN,|FMN|DEN|EWR|MXP|
MXP|JST,|JST|IAD|EWR|MXP|
MXP|JHW,|JHW|CLE|EWR|MXP|
MXP|SHD,|SHD|IAD|EWR|MXP|
MXP|PTY,|PTY|EWR|MXP|
MXP|FNA,|FNA|BRU|IST|MXP|
MXP|SXB,|SXB|BRU|IST|MXP|
MXP|ACV,|ACV|SMF|ORD|EWR|MXP|
MXP|MGW,|MGW|IAD|EWR|MXP|
MXP|ALB,|ALB|EWR|MXP|
MXP|AUS,|AUS|EWR|MXP|
MXP|BFD,|BFD|CLE|EWR|MXP|
MXP|BUF,|BUF|EWR|MXP|
MXP|CHS,|CHS|EWR|MXP|
MXP|DAY,|DAY|EWR|MXP|
MXP|DUJ,|DUJ|CLE|EWR|MXP|
MXP|ERI,|ERI|CLE|EWR|MXP|
MXP|FKL,|FKL|CLE|EWR|MXP|
MXP|FNT,|FNT|CLE|EWR|MXP|
MXP|GRR,|GRR|EWR|MXP|
MXP|GSP,|GSP|EWR|MXP|
MXP|PBI,|PBI|EWR|MXP|
MXP|PKB,|PKB|CLE|EWR|MXP|
MXP|RIC,|RIC|EWR|MXP|
MXP|SDF,|SDF|EWR|MXP|
MXP|GUM,|GUM|FUK|ICN|IST|MXP|
MXP|WRL,|WRL|CYS|DEN|EWR|MXP|
MXP|LBL,|MXP|
MXP|ABQ,|ABQ|MCI|EWR|MXP|
MXP|AIA,|AIA|DEN|EWR|MXP|
MXP|ALS,|ALS|DEN|EWR|MXP|
MXP|AMA,|AMA|DAL|LIT|BWI|EWR|MXP|
MXP|ANC,|ANC|ORD|EWR|MXP|
MXP|ASE,|ASE|DEN|EWR|MXP|
MXP|BFL,|BFL|DEN|EWR|MXP|
MXP|BHM,|BHM|BWI|EWR|MXP|
MXP|BIL,|BIL|DEN|EWR|MXP|
MXP|BIS,|BIS|DEN|EWR|MXP|
MXP|BOI,|BOI|ORD|EWR|MXP|
MXP|BUR,|BUR|LAS|EWR|MXP|
MXP|BZN,|BZN|ORD|EWR|MXP|
MXP|CID,|CID|ORD|EWR|MXP|
MXP|COD,|COD|DEN|EWR|MXP|
MXP|COS,|COS|ORD|EWR|MXP|
MXP|CPR,|CPR|DEN|EWR|MXP|
MXP|CYS,|CYS|DEN|EWR|MXP|
MXP|DIK,|DIK|DEN|EWR|MXP|
MXP|DRO,|DRO|DEN|EWR|MXP|
MXP|DSM,|DSM|EWR|MXP|
MXP|EGE,|EGE|DEN|EWR|MXP|
MXP|ELP,|ELP|DAL|LIT|BWI|EWR|MXP|
MXP|EUG,|EUG|PDX|EWR|MXP|
MXP|FAR,|FAR|ORD|EWR|MXP|
