IND|XIL,|XIL|HET|DLC|PEK|ORD|IND|
IND|HEK,|HEK|HRB|PEK|ORD|IND|
IND|KIJ,|KIJ|HRB|PEK|ORD|IND|
IND|LDS,|LDS|HRB|PEK|ORD|IND|
IND|OHE,|OHE|HRB|PEK|ORD|IND|
IND|HSN,|HSN|PEK|ORD|IND|
IND|DLU,|DLU|KMG|PEK|ORD|IND|
IND|SYM,|SYM|KMG|PEK|ORD|IND|
IND|ZAT,|ZAT|KMG|PEK|ORD|IND|
IND|LUN,|LUN|NBO|ZRH|YYZ|IND|
IND|AOG,|AOG|PEK|ORD|IND|
IND|GMP,|GMP|PEK|ORD|IND|
IND|ISB,|ISB|IST|YYZ|IND|
IND|TAS,|TAS|IST|YYZ|IND|
IND|WUS,|WUS|PEK|ORD|IND|
IND|JMU,|JMU|PVG|ORD|IND|
IND|NDG,|NDG|PVG|ORD|IND|
IND|JXA,|JXA|SHE|PEK|ORD|IND|
IND|PUS,|PUS|SHE|PEK|ORD|IND|
IND|BKI,|BKI|SZX|PEK|ORD|IND|
IND|AKU,|AKU|URC|TSE|FRA|YYZ|IND|
IND|ALA,|ALA|TSE|FRA|YYZ|IND|
IND|ASB,|ASB|GYD|FRA|YYZ|IND|
IND|DNH,|DNH|XIY|PEK|ORD|IND|
IND|DYU,|DYU|IST|YYZ|IND|
IND|FRU,|FRU|IST|YYZ|IND|
IND|GYD,|GYD|FRA|YYZ|IND|
IND|HTN,|HTN|URC|TSE|FRA|YYZ|IND|
IND|IKA,|IKA|SAW|VIE|YYZ|IND|
IND|KCA,|KCA|URC|TSE|FRA|YYZ|IND|
IND|KHG,|KHG|URC|TSE|FRA|YYZ|IND|
IND|KRL,|KRL|URC|TSE|FRA|YYZ|IND|
IND|KRY,|KRY|URC|TSE|FRA|YYZ|IND|
IND|LBD,|LBD|URC|TSE|FRA|YYZ|IND|
IND|NLT,|NLT|URC|TSE|FRA|YYZ|IND|
IND|OSS,|OSS|IST|YYZ|IND|
IND|OVB,|OVB|IST|YYZ|IND|
IND|TBS,|TBS|SAW|VIE|YYZ|IND|
IND|TCG,|TCG|URC|TSE|FRA|YYZ|IND|
IND|TSE,|TSE|FRA|YYZ|IND|
IND|YIN,|YIN|URC|TSE|FRA|YYZ|IND|
IND|ENH,|ENH|WUH|PEK|ORD|IND|
IND|ENY,|ENY|XIY|PEK|ORD|IND|
IND|WXN,|WXN|XIY|PEK|ORD|IND|
IND|BLL,|BLL|IST|YYZ|IND|
IND|ESB,|ESB|VIE|YYZ|IND|
IND|SAW,|SAW|VIE|YYZ|IND|
IND|HAM,|HAM|EWR|IND|
IND|HRE,|HRE|ADD|JED|FRA|YYZ|IND|
IND|JUB,|JUB|CAI|IST|YYZ|IND|
IND|SSG,|SSG|DLA|BRU|YUL|YYZ|IND|
IND|BGW,|BGW|ESB|VIE|YYZ|IND|
IND|EBL,|EBL|IST|YYZ|IND|
IND|VKO,|VKO|IST|YYZ|IND|
IND|MCT,|MCT|AUH|YYZ|IND|
IND|AYT,|AYT|IST|YYZ|IND|
IND|SCQ,|SCQ|BIO|IST|YYZ|IND|
IND|AAL,|AAL|IST|YYZ|IND|
IND|AOE,|AOE|BRU|YUL|YYZ|IND|
IND|JNB,|JNB|DKR|IAD|IND|
IND|LBV,|LBV|DLA|BRU|YUL|YYZ|IND|
IND|ADA,|ADA|SAW|VIE|YYZ|IND|
IND|ADB,|ADB|IST|YYZ|IND|
IND|ADF,|ADF|ESB|VIE|YYZ|IND|
IND|AJI,|AJI|ESB|VIE|YYZ|IND|
IND|BAL,|BAL|ESB|VIE|YYZ|IND|
IND|BJV,|BJV|IST|YYZ|IND|
IND|CKZ,|CKZ|ESB|VIE|YYZ|IND|
IND|DIY,|DIY|ESB|VIE|YYZ|IND|
IND|ECN,|ECN|IST|YYZ|IND|
