CID|YNB,|YNB|IST|ORD|CID|
CID|ZAG,|ZAG|IST|ORD|CID|
CID|MGQ,|MGQ|JIB|IST|ORD|CID|
CID|CPT,|CPT|JNB|DKR|IAD|ORD|CID|
CID|MBA,|MBA|JRO|IST|ORD|CID|
CID|NDJ,|NDJ|KAN|IST|ORD|CID|
CID|CMB,|CMB|MLE|IST|ORD|CID|
CID|ADE,|ADE|SAH|IST|ORD|CID|
CID|ASF,|ASF|SAW|VIE|ORD|CID|
CID|STW,|STW|SAW|VIE|ORD|CID|
CID|LFW,|LFW|ABJ|BRU|ORD|CID|
CID|CEC,|CEC|ACV|SMF|DEN|CID|
CID|SMF,|SMF|DEN|CID|
CID|CDR,|CDR|AIA|DEN|CID|
CID|FMN,|FMN|DEN|CID|
CID|JST,|JST|IAD|ORD|CID|
CID|JHW,|JHW|CLE|ORD|CID|
CID|SHD,|SHD|IAD|ORD|CID|
CID|PTY,|PTY|ORD|CID|
CID|FNA,|FNA|BRU|ORD|CID|
CID|SXB,|SXB|BRU|ORD|CID|
CID|ACV,|ACV|SMF|DEN|CID|
CID|MGW,|MGW|IAD|ORD|CID|
CID|ALB,|ALB|ORD|CID|
CID|AUS,|AUS|ORD|CID|
CID|BFD,|BFD|CLE|ORD|CID|
CID|BUF,|BUF|ORD|CID|
CID|CHS,|CHS|ORD|CID|
CID|DAY,|DAY|ORD|CID|
CID|DUJ,|DUJ|CLE|ORD|CID|
CID|ERI,|ERI|CLE|ORD|CID|
CID|FKL,|FKL|CLE|ORD|CID|
CID|FNT,|FNT|CLE|ORD|CID|
CID|GRR,|GRR|ORD|CID|
CID|GSP,|GSP|ORD|CID|
CID|PBI,|PBI|ATL|ORD|CID|
CID|PKB,|PKB|CLE|ORD|CID|
CID|RIC,|RIC|ORD|CID|
CID|SDF,|SDF|ORD|CID|
CID|GUM,|GUM|HNL|DEN|CID|
CID|WRL,|WRL|CYS|DEN|CID|
CID|LBL,|CID|
CID|ABQ,|ABQ|DEN|CID|
CID|AIA,|AIA|DEN|CID|
CID|ALS,|ALS|DEN|CID|
CID|AMA,|AMA|DEN|CID|
CID|ANC,|ANC|ORD|CID|
CID|ASE,|ASE|DEN|CID|
CID|BFL,|BFL|DEN|CID|
CID|BHM,|BHM|ORD|CID|
CID|BIL,|BIL|DEN|CID|
CID|BIS,|BIS|DEN|CID|
CID|BOI,|BOI|DEN|CID|
CID|BUR,|BUR|DEN|CID|
CID|BZN,|BZN|DEN|CID|
CID|COD,|COD|DEN|CID|
