DSN|KSH,|KSH|IST|URC|CGO|DSN|
DSN|KVD,|KVD|IST|URC|CGO|DSN|
DSN|KWI,|KWI|SAW|TBS|URC|CGO|DSN|
DSN|KYA,|KYA|SAW|TBS|URC|CGO|DSN|
DSN|KZN,|KZN|IST|URC|CGO|DSN|
DSN|KZR,|KZR|IST|URC|CGO|DSN|
DSN|LED,|LED|IST|URC|CGO|DSN|
DSN|LEJ,|LEJ|IST|URC|CGO|DSN|
DSN|LGW,|LGW|IST|URC|CGO|DSN|
DSN|LHE,|LHE|IST|URC|CGO|DSN|
DSN|LIS,|LIS|IST|URC|CGO|DSN|
DSN|LJU,|LJU|IST|URC|CGO|DSN|
DSN|LOS,|LOS|IST|URC|CGO|DSN|
DSN|LUX,|LUX|IST|URC|CGO|DSN|
DSN|LWO,|LWO|IST|URC|CGO|DSN|
DSN|LYS,|LYS|IST|URC|CGO|DSN|
DSN|MAD,|MAD|IST|URC|CGO|DSN|
DSN|MAN,|MAN|IST|URC|CGO|DSN|
DSN|MED,|MED|IST|URC|CGO|DSN|
DSN|MHD,|MHD|IST|URC|CGO|DSN|
DSN|MLA,|MLA|IST|URC|CGO|DSN|
DSN|MRS,|MRS|IST|URC|CGO|DSN|
DSN|MSQ,|MSQ|IST|URC|CGO|DSN|
DSN|MXP,|MXP|IST|URC|CGO|DSN|
DSN|MZH,|MZH|IST|URC|CGO|DSN|
DSN|MZR,|MZR|IST|URC|CGO|DSN|
DSN|NAJ,|NAJ|IST|URC|CGO|DSN|
DSN|NAV,|NAV|IST|URC|CGO|DSN|
DSN|NCE,|NCE|IST|URC|CGO|DSN|
DSN|NIM,|NIM|IST|URC|CGO|DSN|
DSN|NJF,|NJF|IST|URC|CGO|DSN|
DSN|NSI,|NSI|IST|URC|CGO|DSN|
DSN|NUE,|NUE|IST|URC|CGO|DSN|
DSN|ODS,|ODS|IST|URC|CGO|DSN|
DSN|ORN,|ORN|IST|URC|CGO|DSN|
DSN|OTP,|OTP|IST|URC|CGO|DSN|
