CND|SZG,|SZG|IST|CND|
CND|TBZ,|TBZ|IST|CND|
CND|TGD,|TGD|IST|CND|
CND|TIA,|TIA|IST|CND|
CND|TIF,|TIF|IST|CND|
CND|TIP,|TIP|IST|CND|
CND|TLL,|TLL|IST|CND|
CND|TLS,|TLS|IST|CND|
CND|TRN,|TRN|IST|CND|
CND|TUN,|TUN|IST|CND|
CND|TXL,|TXL|IST|CND|
CND|UFA,|UFA|IST|CND|
CND|VAS,|VAS|IST|CND|
CND|VCE,|VCE|IST|CND|
CND|YNB,|YNB|IST|CND|
CND|ZAG,|ZAG|IST|CND|
CND|MGQ,|MGQ|JIB|IST|CND|
CND|CPT,|CPT|JNB|IST|CND|
CND|MBA,|MBA|JRO|IST|CND|
CND|NDJ,|NDJ|KAN|IST|CND|
CND|CMB,|CMB|MLE|IST|CND|
CND|ADE,|ADE|SAH|IST|CND|
CND|ASF,|ASF|SAW|ADB|IST|CND|
CND|STW,|STW|SAW|ADB|IST|CND|
CND|LFW,|LFW|ABJ|OUA|NIM|IST|CND|
CND|CEC,|CEC|ACV|SMF|SEA|FRA|IST|CND|
CND|SMF,|SMF|SEA|FRA|IST|CND|
CND|CDR,|CDR|AIA|DEN|FRA|IST|CND|
CND|FMN,|FMN|DEN|FRA|IST|CND|
CND|JST,|JST|IAD|IST|CND|
CND|JHW,|JHW|CLE|YYZ|IST|CND|
CND|SHD,|SHD|IAD|IST|CND|
CND|PTY,|PTY|MIA|ZRH|IST|CND|
CND|FNA,|FNA|BRU|IST|CND|
CND|SXB,|SXB|BRU|IST|CND|
CND|ACV,|ACV|SMF|SEA|FRA|IST|CND|
CND|MGW,|MGW|IAD|IST|CND|
CND|ALB,|ALB|EWR|BHX|IST|CND|
CND|AUS,|AUS|ORD|IST|CND|
CND|BFD,|BFD|CLE|YYZ|IST|CND|
CND|BUF,|BUF|EWR|BHX|IST|CND|
CND|CHS,|CHS|EWR|BHX|IST|CND|
CND|DAY,|DAY|CLE|YYZ|IST|CND|
CND|DUJ,|DUJ|CLE|YYZ|IST|CND|
CND|ERI,|ERI|CLE|YYZ|IST|CND|
CND|FKL,|FKL|CLE|YYZ|IST|CND|
CND|FNT,|FNT|CLE|YYZ|IST|CND|
CND|GRR,|GRR|CLE|YYZ|IST|CND|
CND|GSP,|GSP|EWR|BHX|IST|CND|
CND|PBI,|PBI|EWR|BHX|IST|CND|
CND|PKB,|PKB|CLE|YYZ|IST|CND|
CND|RIC,|RIC|EWR|BHX|IST|CND|
CND|SDF,|SDF|CLE|YYZ|IST|CND|
CND|GUM,|GUM|FUK|ICN|IST|CND|
CND|WRL,|WRL|CYS|DEN|FRA|IST|CND|
CND|LBL,|CND|
CND|ABQ,|ABQ|DEN|FRA|IST|CND|
CND|AIA,|AIA|DEN|FRA|IST|CND|
CND|ALS,|ALS|DEN|FRA|IST|CND|
CND|AMA,|AMA|DEN|FRA|IST|CND|
CND|ANC,|ANC|SEA|FRA|IST|CND|
CND|ASE,|ASE|DEN|FRA|IST|CND|
CND|BFL,|BFL|LAX|IST|CND|
CND|BHM,|BHM|BWI|EWR|BHX|IST|CND|
CND|BIL,|BIL|DEN|FRA|IST|CND|
CND|BIS,|BIS|DEN|FRA|IST|CND|
CND|BOI,|BOI|DEN|FRA|IST|CND|
CND|BUR,|BUR|DEN|FRA|IST|CND|
CND|BZN,|BZN|ORD|IST|CND|
CND|CID,|CID|ORD|IST|CND|
CND|COD,|COD|DEN|FRA|IST|CND|
CND|COS,|COS|DEN|FRA|IST|CND|
CND|CPR,|CPR|DEN|FRA|IST|CND|
CND|CYS,|CYS|DEN|FRA|IST|CND|
CND|DIK,|DIK|DEN|FRA|IST|CND|
CND|DRO,|DRO|DEN|FRA|IST|CND|
CND|DSM,|DSM|ORD|IST|CND|
CND|EGE,|EGE|DEN|FRA|IST|CND|
CND|ELP,|ELP|DEN|FRA|IST|CND|
CND|EUG,|EUG|PDX|SEA|FRA|IST|CND|
CND|FAR,|FAR|ORD|IST|CND|
CND|FAT,|FAT|SFO|MUC|IST|CND|
CND|FCA,|FCA|DEN|FRA|IST|CND|
CND|FSD,|FSD|ORD|IST|CND|
