EUG|ISB,|ISB|PEK|SEA|PDX|EUG|
EUG|TAS,|TAS|PEK|SEA|PDX|EUG|
EUG|WUS,|WUS|PEK|SEA|PDX|EUG|
EUG|JMU,|JMU|PVG|ICN|SEA|PDX|EUG|
EUG|NDG,|NDG|PVG|ICN|SEA|PDX|EUG|
EUG|JXA,|JXA|SHE|ICN|SEA|PDX|EUG|
EUG|PUS,|PUS|SHE|ICN|SEA|PDX|EUG|
EUG|BKI,|BKI|SZX|PVG|ICN|SEA|PDX|EUG|
EUG|AKU,|AKU|URC|PEK|SEA|PDX|EUG|
EUG|ALA,|ALA|URC|PEK|SEA|PDX|EUG|
EUG|ASB,|ASB|GYD|FRA|SEA|PDX|EUG|
EUG|DNH,|DNH|XIY|PEK|SEA|PDX|EUG|
EUG|DYU,|DYU|URC|PEK|SEA|PDX|EUG|
EUG|FRU,|FRU|URC|PEK|SEA|PDX|EUG|
EUG|GYD,|GYD|FRA|SEA|PDX|EUG|
EUG|HTN,|HTN|URC|PEK|SEA|PDX|EUG|
EUG|IKA,|IKA|SAW|FRA|SEA|PDX|EUG|
EUG|KCA,|KCA|URC|PEK|SEA|PDX|EUG|
EUG|KHG,|KHG|URC|PEK|SEA|PDX|EUG|
EUG|KRL,|KRL|URC|PEK|SEA|PDX|EUG|
EUG|KRY,|KRY|URC|PEK|SEA|PDX|EUG|
EUG|LBD,|LBD|URC|PEK|SEA|PDX|EUG|
EUG|NLT,|NLT|URC|PEK|SEA|PDX|EUG|
EUG|OSS,|OSS|URC|PEK|SEA|PDX|EUG|
EUG|OVB,|OVB|URC|PEK|SEA|PDX|EUG|
EUG|TBS,|TBS|SAW|FRA|SEA|PDX|EUG|
EUG|TCG,|TCG|URC|PEK|SEA|PDX|EUG|
EUG|TSE,|TSE|FRA|SEA|PDX|EUG|
EUG|YIN,|YIN|URC|PEK|SEA|PDX|EUG|
EUG|ENH,|ENH|WUH|ICN|SEA|PDX|EUG|
EUG|ENY,|ENY|XIY|PEK|SEA|PDX|EUG|
EUG|WXN,|WXN|XIY|PEK|SEA|PDX|EUG|
EUG|BLL,|BLL|IST|FRA|SEA|PDX|EUG|
EUG|ESB,|ESB|FRA|SEA|PDX|EUG|
EUG|SAW,|SAW|FRA|SEA|PDX|EUG|
EUG|HAM,|HAM|EWR|PDX|EUG|
EUG|HRE,|HRE|ADD|JED|FRA|SEA|PDX|EUG|
EUG|JUB,|JUB|CAI|IST|FRA|SEA|PDX|EUG|
EUG|SSG,|SSG|DLA|BRU|YUL|YYC|PDX|EUG|
EUG|BGW,|BGW|ESB|FRA|SEA|PDX|EUG|
EUG|EBL,|EBL|IST|FRA|SEA|PDX|EUG|
EUG|VKO,|VKO|IST|FRA|SEA|PDX|EUG|
EUG|MCT,|MCT|IST|FRA|SEA|PDX|EUG|
EUG|AYT,|AYT|IST|FRA|SEA|PDX|EUG|
EUG|SCQ,|SCQ|BIO|IST|FRA|SEA|PDX|EUG|
EUG|AAL,|AAL|IST|FRA|SEA|PDX|EUG|
EUG|AOE,|AOE|BRU|YUL|YYC|PDX|EUG|
EUG|JNB,|JNB|DKR|IAD|PDX|EUG|
EUG|LBV,|LBV|DLA|BRU|YUL|YYC|PDX|EUG|
EUG|ADA,|ADA|SAW|FRA|SEA|PDX|EUG|
EUG|ADB,|ADB|IST|FRA|SEA|PDX|EUG|
EUG|ADF,|ADF|ESB|FRA|SEA|PDX|EUG|
EUG|AJI,|AJI|ESB|FRA|SEA|PDX|EUG|
EUG|BAL,|BAL|ESB|FRA|SEA|PDX|EUG|
EUG|BJV,|BJV|IST|FRA|SEA|PDX|EUG|
EUG|CKZ,|CKZ|ESB|FRA|SEA|PDX|EUG|
EUG|DIY,|DIY|ESB|FRA|SEA|PDX|EUG|
