SYX|ORN,|ORN|IST|URC|CKG|SYX|
SYX|OTP,|OTP|IST|URC|CKG|SYX|
SYX|PRG,|PRG|IST|URC|CKG|SYX|
SYX|PRN,|PRN|IST|URC|CKG|SYX|
SYX|RIX,|RIX|IST|URC|CKG|SYX|
SYX|ROV,|ROV|IST|URC|CKG|SYX|
SYX|RTM,|RTM|IST|URC|CKG|SYX|
SYX|RUH,|RUH|IST|URC|CKG|SYX|
SYX|SAH,|SAH|IST|URC|CKG|SYX|
SYX|SJJ,|SJJ|IST|URC|CKG|SYX|
SYX|SKG,|SKG|IST|URC|CKG|SYX|
SYX|SKP,|SKP|IST|URC|CKG|SYX|
SYX|SSH,|SSH|IST|URC|CKG|SYX|
SYX|STR,|STR|IST|URC|CKG|SYX|
SYX|SVX,|SVX|IST|URC|CKG|SYX|
SYX|SYZ,|SYZ|IST|URC|CKG|SYX|
SYX|SZG,|SZG|IST|URC|CKG|SYX|
SYX|TBZ,|TBZ|IST|URC|CKG|SYX|
SYX|TGD,|TGD|IST|URC|CKG|SYX|
SYX|TIA,|TIA|IST|URC|CKG|SYX|
SYX|TIF,|TIF|IST|URC|CKG|SYX|
SYX|TIP,|TIP|IST|URC|CKG|SYX|
SYX|TLL,|TLL|IST|URC|CKG|SYX|
SYX|TLS,|TLS|IST|URC|CKG|SYX|
SYX|TRN,|TRN|IST|URC|CKG|SYX|
SYX|TUN,|TUN|IST|URC|CKG|SYX|
SYX|TXL,|TXL|IST|URC|CKG|SYX|
SYX|UFA,|UFA|IST|URC|CKG|SYX|
SYX|VAS,|VAS|SAW|TBS|URC|CKG|SYX|
SYX|VCE,|VCE|IST|URC|CKG|SYX|
SYX|YNB,|YNB|IST|URC|CKG|SYX|
SYX|ZAG,|ZAG|IST|URC|CKG|SYX|
SYX|MGQ,|MGQ|JIB|IST|URC|CKG|SYX|
SYX|CPT,|CPT|JNB|IST|URC|CKG|SYX|
SYX|MBA,|MBA|JRO|IST|URC|CKG|SYX|
SYX|NDJ,|NDJ|KAN|IST|URC|CKG|SYX|
SYX|CMB,|CMB|MLE|CAN|SYX|
SYX|ADE,|ADE|SAH|IST|URC|CKG|SYX|
SYX|ASF,|ASF|SAW|TBS|URC|CKG|SYX|
