YYY|NDG,|NDG|PVG|YYZ|YUL|YYY|
YYY|JXA,|JXA|SHE|PEK|YYZ|YUL|YYY|
YYY|PUS,|PUS|SHE|PEK|YYZ|YUL|YYY|
YYY|BKI,|BKI|SZX|PEK|YYZ|YUL|YYY|
YYY|AKU,|AKU|URC|TSE|FRA|YUL|YYY|
YYY|ALA,|ALA|TSE|FRA|YUL|YYY|
YYY|ASB,|ASB|GYD|FRA|YUL|YYY|
YYY|DNH,|DNH|URC|TSE|FRA|YUL|YYY|
YYY|DYU,|DYU|IST|FRA|YUL|YYY|
YYY|FRU,|FRU|IST|FRA|YUL|YYY|
YYY|GYD,|GYD|FRA|YUL|YYY|
YYY|HTN,|HTN|URC|TSE|FRA|YUL|YYY|
YYY|IKA,|IKA|SAW|FRA|YUL|YYY|
YYY|KCA,|KCA|URC|TSE|FRA|YUL|YYY|
YYY|KHG,|KHG|URC|TSE|FRA|YUL|YYY|
YYY|KRL,|KRL|URC|TSE|FRA|YUL|YYY|
YYY|KRY,|KRY|URC|TSE|FRA|YUL|YYY|
YYY|LBD,|LBD|URC|TSE|FRA|YUL|YYY|
YYY|NLT,|NLT|URC|TSE|FRA|YUL|YYY|
YYY|OSS,|OSS|IST|FRA|YUL|YYY|
YYY|OVB,|OVB|IST|FRA|YUL|YYY|
YYY|TBS,|TBS|SAW|FRA|YUL|YYY|
YYY|TCG,|TCG|URC|TSE|FRA|YUL|YYY|
YYY|TSE,|TSE|FRA|YUL|YYY|
YYY|YIN,|YIN|URC|TSE|FRA|YUL|YYY|
YYY|ENH,|ENH|WUH|PEK|YYZ|YUL|YYY|
YYY|ENY,|ENY|XIY|PEK|YYZ|YUL|YYY|
YYY|WXN,|WXN|XIY|PEK|YYZ|YUL|YYY|
YYY|BLL,|BLL|IST|FRA|YUL|YYY|
YYY|ESB,|ESB|FRA|YUL|YYY|
YYY|SAW,|SAW|FRA|YUL|YYY|
YYY|HAM,|HAM|EWR|YUL|YYY|
YYY|HRE,|HRE|ADD|JED|FRA|YUL|YYY|
YYY|JUB,|JUB|CAI|IST|FRA|YUL|YYY|
YYY|SSG,|SSG|DLA|BRU|YUL|YYY|
YYY|BGW,|BGW|ESB|FRA|YUL|YYY|
YYY|EBL,|EBL|IST|FRA|YUL|YYY|
YYY|VKO,|VKO|IST|FRA|YUL|YYY|
YYY|MCT,|MCT|IST|FRA|YUL|YYY|
YYY|AYT,|AYT|IST|FRA|YUL|YYY|
YYY|SCQ,|SCQ|BIO|IST|FRA|YUL|YYY|
YYY|AAL,|AAL|IST|FRA|YUL|YYY|
YYY|AOE,|AOE|BRU|YUL|YYY|
YYY|JNB,|JNB|JFK|YUL|YYY|
YYY|LBV,|LBV|DLA|BRU|YUL|YYY|
YYY|ADA,|ADA|SAW|FRA|YUL|YYY|
YYY|ADB,|ADB|IST|FRA|YUL|YYY|
YYY|ADF,|ADF|ESB|FRA|YUL|YYY|
YYY|AJI,|AJI|ESB|FRA|YUL|YYY|
YYY|BAL,|BAL|ESB|FRA|YUL|YYY|
YYY|BJV,|BJV|IST|FRA|YUL|YYY|
YYY|CKZ,|CKZ|ESB|FRA|YUL|YYY|
YYY|DIY,|DIY|ESB|FRA|YUL|YYY|
YYY|ECN,|ECN|IST|FRA|YUL|YYY|
YYY|ERC,|ERC|ESB|FRA|YUL|YYY|
YYY|ERZ,|ERZ|ESB|FRA|YUL|YYY|
YYY|EZS,|EZS|ESB|FRA|YUL|YYY|
YYY|GNY,|GNY|ESB|FRA|YUL|YYY|
YYY|GZP,|GZP|ESB|FRA|YUL|YYY|
YYY|GZT,|GZT|ESB|FRA|YUL|YYY|
YYY|HTY,|HTY|SAW|FRA|YUL|YYY|
