CNS|MSR,|MSR|IST|ICN|FUK|GUM|CNS|
CNS|TEQ,|TEQ|ESB|IST|ICN|FUK|GUM|CNS|
CNS|TZX,|TZX|IST|ICN|FUK|GUM|CNS|
CNS|VAN,|VAN|IST|ICN|FUK|GUM|CNS|
CNS|ULN,|ULN|FRU|URC|PEK|ICN|FUK|GUM|CNS|
CNS|HIJ,|HIJ|ICN|FUK|GUM|CNS|
CNS|VVO,|VVO|ICN|FUK|GUM|CNS|
CNS|ACC,|ACC|IST|ICN|FUK|GUM|CNS|
CNS|AER,|AER|IST|ICN|FUK|GUM|CNS|
CNS|AGP,|AGP|IST|ICN|FUK|GUM|CNS|
CNS|ALG,|ALG|IST|ICN|FUK|GUM|CNS|
CNS|AMM,|AMM|IST|ICN|FUK|GUM|CNS|
CNS|AQJ,|AQJ|IST|ICN|FUK|GUM|CNS|
CNS|ARN,|ARN|IST|ICN|FUK|GUM|CNS|
CNS|ASR,|ASR|IST|ICN|FUK|GUM|CNS|
CNS|ATH,|ATH|IST|ICN|FUK|GUM|CNS|
CNS|BAH,|BAH|IST|ICN|FUK|GUM|CNS|
CNS|BEG,|BEG|IST|ICN|FUK|GUM|CNS|
CNS|BEN,|BEN|IST|ICN|FUK|GUM|CNS|
CNS|BEY,|BEY|IST|ICN|FUK|GUM|CNS|
CNS|BHX,|BHX|IST|ICN|FUK|GUM|CNS|
CNS|BIO,|BIO|IST|ICN|FUK|GUM|CNS|
CNS|BLQ,|BLQ|IST|ICN|FUK|GUM|CNS|
CNS|BOM,|BOM|IST|ICN|FUK|GUM|CNS|
CNS|BRE,|BRE|IST|ICN|FUK|GUM|CNS|
CNS|BSL,|BSL|IST|ICN|FUK|GUM|CNS|
CNS|BSR,|BSR|IST|ICN|FUK|GUM|CNS|
CNS|BUD,|BUD|IST|ICN|FUK|GUM|CNS|
CNS|BUS,|BUS|IST|ICN|FUK|GUM|CNS|
CNS|CAI,|CAI|IST|ICN|FUK|GUM|CNS|
CNS|CGN,|CGN|IST|ICN|FUK|GUM|CNS|
CNS|CMN,|CMN|IST|ICN|FUK|GUM|CNS|
