SYZ|MLA,|MLA|IST|SYZ|
SYZ|MRS,|MRS|IST|SYZ|
SYZ|MSQ,|MSQ|IST|SYZ|
SYZ|MXP,|MXP|IST|SYZ|
SYZ|MZH,|MZH|IST|SYZ|
SYZ|MZR,|MZR|IST|SYZ|
SYZ|NAJ,|NAJ|IST|SYZ|
SYZ|NAV,|NAV|IST|SYZ|
SYZ|NCE,|NCE|IST|SYZ|
SYZ|NIM,|NIM|IST|SYZ|
SYZ|NJF,|NJF|IST|SYZ|
SYZ|NSI,|NSI|IST|SYZ|
SYZ|NUE,|NUE|IST|SYZ|
SYZ|ODS,|ODS|IST|SYZ|
SYZ|ORN,|ORN|IST|SYZ|
SYZ|OTP,|OTP|IST|SYZ|
SYZ|PRG,|PRG|IST|SYZ|
SYZ|PRN,|PRN|IST|SYZ|
SYZ|RIX,|RIX|IST|SYZ|
SYZ|ROV,|ROV|IST|SYZ|
SYZ|RTM,|RTM|IST|SYZ|
SYZ|RUH,|RUH|IST|SYZ|
SYZ|SAH,|SAH|IST|SYZ|
SYZ|SJJ,|SJJ|IST|SYZ|
SYZ|SKG,|SKG|IST|SYZ|
SYZ|SKP,|SKP|IST|SYZ|
SYZ|SSH,|SSH|IST|SYZ|
SYZ|STR,|STR|IST|SYZ|
SYZ|SVX,|SVX|IST|SYZ|
SYZ|SZG,|SZG|IST|SYZ|
SYZ|TBZ,|TBZ|IST|SYZ|
SYZ|TGD,|TGD|IST|SYZ|
SYZ|TIA,|TIA|IST|SYZ|
SYZ|TIF,|TIF|IST|SYZ|
SYZ|TIP,|TIP|IST|SYZ|
SYZ|TLL,|TLL|IST|SYZ|
SYZ|TLS,|TLS|IST|SYZ|
SYZ|TRN,|TRN|IST|SYZ|
SYZ|TUN,|TUN|IST|SYZ|
SYZ|TXL,|TXL|IST|SYZ|
SYZ|UFA,|UFA|IST|SYZ|
SYZ|VAS,|VAS|IST|SYZ|
SYZ|VCE,|VCE|IST|SYZ|
SYZ|YNB,|YNB|IST|SYZ|
SYZ|ZAG,|ZAG|IST|SYZ|
SYZ|MGQ,|MGQ|JIB|IST|SYZ|
SYZ|CPT,|CPT|JNB|IST|SYZ|
SYZ|MBA,|MBA|JRO|IST|SYZ|
SYZ|NDJ,|NDJ|KAN|IST|SYZ|
SYZ|CMB,|CMB|MLE|IST|SYZ|
