YBC|VVO,|VVO|ICN|JFK|YUL|YBC|
YBC|ACC,|ACC|IST|FRA|YUL|YBC|
YBC|AER,|AER|IST|FRA|YUL|YBC|
YBC|AGP,|AGP|IST|FRA|YUL|YBC|
YBC|ALG,|ALG|IST|FRA|YUL|YBC|
YBC|AMM,|AMM|IST|FRA|YUL|YBC|
YBC|AQJ,|AQJ|IST|FRA|YUL|YBC|
YBC|ARN,|ARN|EWR|YUL|YBC|
YBC|ASR,|ASR|SAW|FRA|YUL|YBC|
YBC|ATH,|ATH|IST|FRA|YUL|YBC|
YBC|BAH,|BAH|IST|FRA|YUL|YBC|
YBC|BEG,|BEG|IST|FRA|YUL|YBC|
YBC|BEN,|BEN|IST|FRA|YUL|YBC|
YBC|BEY,|BEY|IST|FRA|YUL|YBC|
YBC|BHX,|BHX|EWR|YUL|YBC|
YBC|BIO,|BIO|IST|FRA|YUL|YBC|
YBC|BLQ,|BLQ|IST|FRA|YUL|YBC|
YBC|BOM,|BOM|IST|FRA|YUL|YBC|
YBC|BRE,|BRE|IST|FRA|YUL|YBC|
YBC|BSL,|BSL|IST|FRA|YUL|YBC|
YBC|BSR,|BSR|IST|FRA|YUL|YBC|
YBC|BUD,|BUD|IST|FRA|YUL|YBC|
YBC|BUS,|BUS|IST|FRA|YUL|YBC|
YBC|CAI,|CAI|IST|FRA|YUL|YBC|
YBC|CGN,|CGN|IST|FRA|YUL|YBC|
YBC|CMN,|CMN|IST|FRA|YUL|YBC|
YBC|CND,|CND|IST|FRA|YUL|YBC|
YBC|DAR,|DAR|NBO|ZRH|YUL|YBC|
YBC|DLM,|DLM|IST|FRA|YUL|YBC|
YBC|DMM,|DMM|IST|FRA|YUL|YBC|
YBC|DNK,|DNK|IST|FRA|YUL|YBC|
YBC|DNZ,|DNZ|IST|FRA|YUL|YBC|
YBC|DOK,|DOK|IST|FRA|YUL|YBC|
YBC|DUS,|DUS|EWR|YUL|YBC|
YBC|EDI,|EDI|EWR|YUL|YBC|
YBC|ELQ,|ELQ|IST|FRA|YUL|YBC|
YBC|FDH,|FDH|IST|FRA|YUL|YBC|
YBC|GOA,|GOA|IST|FRA|YUL|YBC|
YBC|GOT,|GOT|BRU|YUL|YBC|
YBC|HAJ,|HAJ|BRU|YUL|YBC|
YBC|HBE,|HBE|IST|FRA|YUL|YBC|
YBC|HEL,|HEL|IST|FRA|YUL|YBC|
YBC|HRG,|HRG|IST|FRA|YUL|YBC|
YBC|IFN,|IFN|IST|FRA|YUL|YBC|
YBC|ISE,|ISE|IST|FRA|YUL|YBC|
YBC|ISU,|ISU|IST|FRA|YUL|YBC|
YBC|JIB,|JIB|IST|FRA|YUL|YBC|
YBC|JRO,|JRO|IST|FRA|YUL|YBC|
YBC|KAN,|KAN|IST|FRA|YUL|YBC|
YBC|KBL,|KBL|IST|FRA|YUL|YBC|
YBC|KBP,|KBP|IST|FRA|YUL|YBC|
YBC|KFS,|KFS|IST|FRA|YUL|YBC|
YBC|KHI,|KHI|IST|FRA|YUL|YBC|
YBC|KIV,|KIV|IST|FRA|YUL|YBC|
YBC|KRT,|KRT|IST|FRA|YUL|YBC|
YBC|KSH,|KSH|IST|FRA|YUL|YBC|
YBC|KVD,|KVD|IST|FRA|YUL|YBC|
YBC|KWI,|KWI|SAW|FRA|YUL|YBC|
YBC|KYA,|KYA|IST|FRA|YUL|YBC|
YBC|KZN,|KZN|IST|FRA|YUL|YBC|
YBC|KZR,|KZR|IST|FRA|YUL|YBC|
YBC|LED,|LED|VIE|JFK|YUL|YBC|
YBC|LEJ,|LEJ|IST|FRA|YUL|YBC|
YBC|LGW,|LGW|IST|FRA|YUL|YBC|
YBC|LHE,|LHE|IST|FRA|YUL|YBC|
YBC|LIS,|LIS|EWR|YUL|YBC|
YBC|LJU,|LJU|IST|FRA|YUL|YBC|
YBC|LOS,|LOS|FRA|YUL|YBC|
YBC|LUX,|LUX|IST|FRA|YUL|YBC|
YBC|LWO,|LWO|IST|FRA|YUL|YBC|
YBC|LYS,|LYS|IST|FRA|YUL|YBC|
YBC|MAD,|MAD|EWR|YUL|YBC|
YBC|MAN,|MAN|EWR|YUL|YBC|
YBC|MED,|MED|IST|FRA|YUL|YBC|
YBC|MHD,|MHD|IST|FRA|YUL|YBC|
YBC|MLA,|MLA|IST|FRA|YUL|YBC|
YBC|MRS,|MRS|IST|FRA|YUL|YBC|
YBC|MSQ,|MSQ|IST|FRA|YUL|YBC|
YBC|MXP,|MXP|EWR|YUL|YBC|
YBC|MZH,|MZH|IST|FRA|YUL|YBC|
YBC|MZR,|MZR|IST|FRA|YUL|YBC|
YBC|NAJ,|NAJ|IST|FRA|YUL|YBC|
YBC|NAV,|NAV|IST|FRA|YUL|YBC|
YBC|NCE,|NCE|IST|FRA|YUL|YBC|
YBC|NIM,|NIM|IST|FRA|YUL|YBC|
