BHY|LYA,|LYA|CAN|BHY|
BHY|LYG,|LYG|CAN|BHY|
BHY|LZH,|LZH|CAN|BHY|
BHY|MEL,|MEL|CAN|BHY|
BHY|MIG,|MIG|CAN|BHY|
BHY|MLE,|MLE|CAN|BHY|
BHY|MNL,|MNL|CAN|BHY|
BHY|MXZ,|MXZ|CAN|BHY|
BHY|NAO,|NAO|CAN|BHY|
BHY|NGB,|NGB|CAN|BHY|
BHY|NKG,|NKG|CSX|BHY|
BHY|NNY,|NNY|CAN|BHY|
BHY|PEN,|PEN|CAN|BHY|
BHY|PER,|PER|CAN|BHY|
BHY|PNH,|PNH|CAN|BHY|
BHY|REP,|REP|CAN|BHY|
BHY|RGN,|RGN|CAN|BHY|
BHY|SGN,|SGN|CAN|BHY|
BHY|SHA,|SHA|CAN|BHY|
BHY|SIN,|SIN|CAN|BHY|
BHY|SVO,|SVO|URC|CKG|BHY|
BHY|SYX,|SYX|CAN|BHY|
BHY|TAO,|TAO|CSX|BHY|
BHY|TEN,|TEN|CAN|BHY|
BHY|TNA,|TNA|CSX|BHY|
BHY|TPE,|TPE|CAN|BHY|
BHY|TSN,|TSN|CSX|BHY|
BHY|TXN,|TXN|CAN|BHY|
BHY|TYN,|TYN|CSX|BHY|
BHY|WNZ,|WNZ|CAN|BHY|
BHY|WUX,|WUX|CAN|BHY|
BHY|XFN,|XFN|CAN|BHY|
BHY|XIY,|XIY|CKG|BHY|
BHY|XUZ,|XUZ|CAN|BHY|
BHY|YIH,|YIH|CAN|BHY|
BHY|YIW,|YIW|CAN|BHY|
BHY|YNT,|YNT|CSX|BHY|
BHY|YNZ,|YNZ|CAN|BHY|
BHY|YTY,|YTY|CSX|BHY|
BHY|ZHA,|ZHA|CAN|BHY|
BHY|ZYI,|ZYI|CAN|BHY|
BHY|BAV,|BAV|CSX|BHY|
BHY|CJU,|CJU|CSX|BHY|
BHY|DSN,|DSN|CGO|BHY|
BHY|HMI,|HMI|CGO|BHY|
