LGW|SHD,|SHD|IAD|IST|LGW|
LGW|PTY,|PTY|MIA|ZRH|IST|LGW|
LGW|FNA,|FNA|BRU|IST|LGW|
LGW|SXB,|SXB|BRU|IST|LGW|
LGW|ACV,|ACV|SMF|SEA|FRA|IST|LGW|
LGW|MGW,|MGW|IAD|IST|LGW|
LGW|ALB,|ALB|EWR|BHX|IST|LGW|
LGW|AUS,|AUS|ORD|IST|LGW|
LGW|BFD,|BFD|CLE|YYZ|IST|LGW|
LGW|BUF,|BUF|EWR|BHX|IST|LGW|
LGW|CHS,|CHS|EWR|BHX|IST|LGW|
LGW|DAY,|DAY|CLE|YYZ|IST|LGW|
LGW|DUJ,|DUJ|CLE|YYZ|IST|LGW|
LGW|ERI,|ERI|CLE|YYZ|IST|LGW|
LGW|FKL,|FKL|CLE|YYZ|IST|LGW|
LGW|FNT,|FNT|CLE|YYZ|IST|LGW|
LGW|GRR,|GRR|CLE|YYZ|IST|LGW|
LGW|GSP,|GSP|EWR|BHX|IST|LGW|
LGW|PBI,|PBI|EWR|BHX|IST|LGW|
LGW|PKB,|PKB|CLE|YYZ|IST|LGW|
LGW|RIC,|RIC|EWR|BHX|IST|LGW|
LGW|SDF,|SDF|CLE|YYZ|IST|LGW|
LGW|GUM,|GUM|FUK|ICN|IST|LGW|
LGW|WRL,|WRL|CYS|DEN|FRA|IST|LGW|
LGW|LBL,|LGW|
LGW|ABQ,|ABQ|DEN|FRA|IST|LGW|
