PRN|KRY,|KRY|URC|IST|PRN|
PRN|LBD,|LBD|URC|IST|PRN|
PRN|NLT,|NLT|URC|IST|PRN|
PRN|OSS,|OSS|IST|PRN|
PRN|OVB,|OVB|IST|PRN|
PRN|TBS,|TBS|IST|PRN|
PRN|TCG,|TCG|URC|IST|PRN|
PRN|TSE,|TSE|IST|PRN|
PRN|YIN,|YIN|URC|IST|PRN|
PRN|ENH,|ENH|WUH|URC|IST|PRN|
PRN|ENY,|ENY|XIY|URC|IST|PRN|
PRN|WXN,|WXN|XIY|URC|IST|PRN|
PRN|BLL,|BLL|IST|PRN|
PRN|ESB,|ESB|IST|PRN|
PRN|SAW,|SAW|ADB|IST|PRN|
PRN|HAM,|HAM|IST|PRN|
PRN|HRE,|HRE|ADD|IST|PRN|
PRN|JUB,|JUB|CAI|IST|PRN|
PRN|SSG,|SSG|DLA|IST|PRN|
PRN|BGW,|BGW|IST|PRN|
PRN|EBL,|EBL|IST|PRN|
PRN|VKO,|VKO|IST|PRN|
PRN|MCT,|MCT|IST|PRN|
PRN|AYT,|AYT|IST|PRN|
PRN|SCQ,|SCQ|BIO|IST|PRN|
PRN|AAL,|AAL|IST|PRN|
PRN|AOE,|AOE|BRU|IST|PRN|
PRN|JNB,|JNB|IST|PRN|
PRN|LBV,|LBV|DLA|IST|PRN|
PRN|ADA,|ADA|IST|PRN|
PRN|ADB,|ADB|IST|PRN|
PRN|ADF,|ADF|IST|PRN|
PRN|AJI,|AJI|IST|PRN|
PRN|BAL,|BAL|IST|PRN|
PRN|BJV,|BJV|IST|PRN|
PRN|CKZ,|CKZ|ESB|IST|PRN|
PRN|DIY,|DIY|IST|PRN|
PRN|ECN,|ECN|IST|PRN|
PRN|ERC,|ERC|IST|PRN|
PRN|ERZ,|ERZ|IST|PRN|
PRN|EZS,|EZS|IST|PRN|
PRN|GNY,|GNY|IST|PRN|
PRN|GZP,|GZP|ESB|IST|PRN|
PRN|GZT,|GZT|IST|PRN|
PRN|HTY,|HTY|IST|PRN|
PRN|KCM,|KCM|IST|PRN|
PRN|KSY,|KSY|IST|PRN|
PRN|MLX,|MLX|IST|PRN|
PRN|MQM,|MQM|IST|PRN|
PRN|MSR,|MSR|IST|PRN|
PRN|TEQ,|TEQ|ESB|IST|PRN|
PRN|TZX,|TZX|IST|PRN|
PRN|VAN,|VAN|IST|PRN|
PRN|ULN,|ULN|FRU|IST|PRN|
PRN|HIJ,|HIJ|ICN|IST|PRN|
PRN|VVO,|VVO|ICN|IST|PRN|
PRN|ACC,|ACC|IST|PRN|
PRN|AER,|AER|IST|PRN|
PRN|AGP,|AGP|IST|PRN|
PRN|ALG,|ALG|IST|PRN|
PRN|AMM,|AMM|IST|PRN|
PRN|AQJ,|AQJ|IST|PRN|
PRN|ARN,|ARN|IST|PRN|
PRN|ASR,|ASR|IST|PRN|
PRN|ATH,|ATH|IST|PRN|
PRN|BAH,|BAH|IST|PRN|
PRN|BEG,|BEG|IST|PRN|
PRN|BEN,|BEN|IST|PRN|
PRN|BEY,|BEY|IST|PRN|
PRN|BHX,|BHX|IST|PRN|
PRN|BIO,|BIO|IST|PRN|
PRN|BLQ,|BLQ|IST|PRN|
PRN|BOM,|BOM|IST|PRN|
PRN|BRE,|BRE|IST|PRN|
PRN|BSL,|BSL|IST|PRN|
PRN|BSR,|BSR|IST|PRN|
PRN|BUD,|BUD|IST|PRN|
PRN|BUS,|BUS|IST|PRN|
PRN|CAI,|CAI|IST|PRN|
PRN|CGN,|CGN|IST|PRN|
PRN|CMN,|CMN|IST|PRN|
PRN|CND,|CND|IST|PRN|
PRN|DAR,|DAR|IST|PRN|
PRN|DLM,|DLM|IST|PRN|
PRN|DMM,|DMM|IST|PRN|
PRN|DNK,|DNK|IST|PRN|
PRN|DNZ,|DNZ|IST|PRN|
PRN|DOK,|DOK|IST|PRN|
PRN|DUS,|DUS|IST|PRN|
PRN|EDI,|EDI|IST|PRN|
PRN|ELQ,|ELQ|IST|PRN|
PRN|FDH,|FDH|IST|PRN|
PRN|GOA,|GOA|IST|PRN|
PRN|GOT,|GOT|IST|PRN|
PRN|HAJ,|HAJ|IST|PRN|
PRN|HBE,|HBE|IST|PRN|
PRN|HEL,|HEL|IST|PRN|
PRN|HRG,|HRG|IST|PRN|
PRN|IFN,|IFN|IST|PRN|
PRN|ISE,|ISE|IST|PRN|
PRN|ISU,|ISU|IST|PRN|
PRN|JIB,|JIB|IST|PRN|
PRN|JRO,|JRO|IST|PRN|
PRN|KAN,|KAN|IST|PRN|
PRN|KBL,|KBL|IST|PRN|
PRN|KBP,|KBP|IST|PRN|
PRN|KFS,|KFS|IST|PRN|
PRN|KHI,|KHI|IST|PRN|
PRN|KIV,|KIV|IST|PRN|
PRN|KRT,|KRT|IST|PRN|
PRN|KSH,|KSH|IST|PRN|
PRN|KVD,|KVD|IST|PRN|
PRN|KWI,|KWI|IST|PRN|
PRN|KYA,|KYA|IST|PRN|
PRN|KZN,|KZN|IST|PRN|
PRN|KZR,|KZR|IST|PRN|
PRN|LED,|LED|IST|PRN|
PRN|LEJ,|LEJ|IST|PRN|
PRN|LGW,|LGW|IST|PRN|
PRN|LHE,|LHE|IST|PRN|
PRN|LIS,|LIS|IST|PRN|
PRN|LJU,|LJU|IST|PRN|
PRN|LOS,|LOS|IST|PRN|
PRN|LUX,|LUX|IST|PRN|
PRN|LWO,|LWO|IST|PRN|
PRN|LYS,|LYS|IST|PRN|
PRN|MAD,|MAD|IST|PRN|
PRN|MAN,|MAN|IST|PRN|
PRN|MED,|MED|IST|PRN|
PRN|MHD,|MHD|IST|PRN|
PRN|MLA,|MLA|IST|PRN|
PRN|MRS,|MRS|IST|PRN|
