DTW|BLQ,|BLQ|IST|FRA|DTW|
DTW|BOM,|BOM|EWR|DTW|
DTW|BRE,|BRE|IST|FRA|DTW|
DTW|BSL,|BSL|IST|FRA|DTW|
DTW|BSR,|BSR|IST|FRA|DTW|
DTW|BUD,|BUD|IST|FRA|DTW|
DTW|BUS,|BUS|IST|FRA|DTW|
DTW|CAI,|CAI|IST|FRA|DTW|
DTW|CGN,|CGN|IST|FRA|DTW|
DTW|CMN,|CMN|IST|FRA|DTW|
DTW|CND,|CND|IST|FRA|DTW|
DTW|DAR,|DAR|NBO|ZRH|YYZ|DTW|
DTW|DLM,|DLM|IST|FRA|DTW|
DTW|DMM,|DMM|IST|FRA|DTW|
DTW|DNK,|DNK|IST|FRA|DTW|
DTW|DNZ,|DNZ|IST|FRA|DTW|
DTW|DOK,|DOK|IST|FRA|DTW|
DTW|DUS,|DUS|EWR|DTW|
DTW|EDI,|EDI|EWR|DTW|
DTW|ELQ,|ELQ|IST|FRA|DTW|
DTW|FDH,|FDH|IST|FRA|DTW|
DTW|GOA,|GOA|IST|FRA|DTW|
DTW|GOT,|GOT|BRU|YUL|YYZ|DTW|
DTW|HAJ,|HAJ|BRU|YUL|YYZ|DTW|
DTW|HBE,|HBE|IST|FRA|DTW|
DTW|HEL,|HEL|IST|FRA|DTW|
DTW|HRG,|HRG|IST|FRA|DTW|
DTW|IFN,|IFN|IST|FRA|DTW|
DTW|ISE,|ISE|IST|FRA|DTW|
DTW|ISU,|ISU|IST|FRA|DTW|
DTW|JIB,|JIB|IST|FRA|DTW|
DTW|JRO,|JRO|IST|FRA|DTW|
DTW|KAN,|KAN|IST|FRA|DTW|
DTW|KBL,|KBL|IST|FRA|DTW|
DTW|KBP,|KBP|IST|FRA|DTW|
DTW|KFS,|KFS|IST|FRA|DTW|
DTW|KHI,|KHI|IST|FRA|DTW|
DTW|KIV,|KIV|IST|FRA|DTW|
DTW|KRT,|KRT|IST|FRA|DTW|
DTW|KSH,|KSH|IST|FRA|DTW|
DTW|KVD,|KVD|IST|FRA|DTW|
DTW|KWI,|KWI|SAW|VIE|YYZ|DTW|
