BKK|KSY,|KSY|IST|BKK|
BKK|MLX,|MLX|IST|BKK|
BKK|MQM,|MQM|IST|BKK|
BKK|MSR,|MSR|IST|BKK|
BKK|TEQ,|TEQ|ESB|IST|BKK|
BKK|TZX,|TZX|IST|BKK|
BKK|VAN,|VAN|IST|BKK|
BKK|ULN,|ULN|FRU|URC|KWE|NNG|BKK|
BKK|HIJ,|HIJ|ICN|BKK|
BKK|VVO,|VVO|ICN|BKK|
BKK|ACC,|ACC|IST|BKK|
BKK|AER,|AER|IST|BKK|
BKK|AGP,|AGP|IST|BKK|
BKK|ALG,|ALG|IST|BKK|
BKK|AMM,|AMM|IST|BKK|
BKK|AQJ,|AQJ|IST|BKK|
BKK|ARN,|ARN|IST|BKK|
BKK|ASR,|ASR|IST|BKK|
BKK|ATH,|ATH|IST|BKK|
BKK|BAH,|BAH|IST|BKK|
BKK|BEG,|BEG|IST|BKK|
BKK|BEN,|BEN|IST|BKK|
BKK|BEY,|BEY|IST|BKK|
BKK|BHX,|BHX|IST|BKK|
BKK|BIO,|BIO|IST|BKK|
BKK|BLQ,|BLQ|IST|BKK|
BKK|BOM,|BOM|IST|BKK|
BKK|BRE,|BRE|IST|BKK|
BKK|BSL,|BSL|IST|BKK|
BKK|BSR,|BSR|IST|BKK|
BKK|BUD,|BUD|IST|BKK|
BKK|BUS,|BUS|IST|BKK|
BKK|CAI,|CAI|IST|BKK|
BKK|CGN,|CGN|IST|BKK|
BKK|CMN,|CMN|IST|BKK|
BKK|CND,|CND|IST|BKK|
BKK|DAR,|DAR|NBO|BKK|
BKK|DLM,|DLM|IST|BKK|
BKK|DMM,|DMM|IST|BKK|
BKK|DNK,|DNK|IST|BKK|
BKK|DNZ,|DNZ|IST|BKK|
BKK|DOK,|DOK|IST|BKK|
BKK|DUS,|DUS|IST|BKK|
BKK|EDI,|EDI|IST|BKK|
BKK|ELQ,|ELQ|IST|BKK|
BKK|FDH,|FDH|IST|BKK|
BKK|GOA,|GOA|IST|BKK|
BKK|GOT,|GOT|IST|BKK|
BKK|HAJ,|HAJ|IST|BKK|
BKK|HBE,|HBE|IST|BKK|
BKK|HEL,|HEL|IST|BKK|
BKK|HRG,|HRG|IST|BKK|
BKK|IFN,|IFN|IST|BKK|
BKK|ISE,|ISE|IST|BKK|
BKK|ISU,|ISU|IST|BKK|
BKK|JIB,|JIB|IST|BKK|
BKK|JRO,|JRO|IST|BKK|
BKK|KAN,|KAN|IST|BKK|
BKK|KBL,|KBL|IST|BKK|
BKK|KBP,|KBP|IST|BKK|
BKK|KFS,|KFS|IST|BKK|
BKK|KHI,|KHI|IST|BKK|
BKK|KIV,|KIV|IST|BKK|
BKK|KRT,|KRT|IST|BKK|
BKK|KSH,|KSH|IST|BKK|
BKK|KVD,|KVD|IST|BKK|
BKK|KWI,|KWI|IST|BKK|
BKK|KYA,|KYA|IST|BKK|
BKK|KZN,|KZN|IST|BKK|
BKK|KZR,|KZR|IST|BKK|
BKK|LED,|LED|IST|BKK|
BKK|LEJ,|LEJ|IST|BKK|
BKK|LGW,|LGW|IST|BKK|
BKK|LHE,|LHE|IST|BKK|
BKK|LIS,|LIS|IST|BKK|
BKK|LJU,|LJU|IST|BKK|
BKK|LOS,|LOS|IST|BKK|
BKK|LUX,|LUX|IST|BKK|
BKK|LWO,|LWO|IST|BKK|
BKK|LYS,|LYS|IST|BKK|
BKK|MAD,|MAD|IST|BKK|
BKK|MAN,|MAN|IST|BKK|
BKK|MED,|MED|IST|BKK|
BKK|MHD,|MHD|IST|BKK|
BKK|MLA,|MLA|IST|BKK|
BKK|MRS,|MRS|IST|BKK|
BKK|MSQ,|MSQ|IST|BKK|
BKK|MXP,|MXP|IST|BKK|
BKK|MZH,|MZH|IST|BKK|
BKK|MZR,|MZR|IST|BKK|
BKK|NAJ,|NAJ|IST|BKK|
BKK|NAV,|NAV|IST|BKK|
BKK|NCE,|NCE|IST|BKK|
BKK|NIM,|NIM|IST|BKK|
BKK|NJF,|NJF|IST|BKK|
BKK|NSI,|NSI|IST|BKK|
BKK|NUE,|NUE|IST|BKK|
BKK|ODS,|ODS|IST|BKK|
BKK|ORN,|ORN|IST|BKK|
BKK|OTP,|OTP|IST|BKK|
BKK|PRG,|PRG|IST|BKK|
BKK|PRN,|PRN|IST|BKK|
BKK|RIX,|RIX|IST|BKK|
BKK|ROV,|ROV|IST|BKK|
BKK|RTM,|RTM|IST|BKK|
BKK|RUH,|RUH|IST|BKK|
BKK|SAH,|SAH|IST|BKK|
BKK|SJJ,|SJJ|IST|BKK|
BKK|SKG,|SKG|IST|BKK|
BKK|SKP,|SKP|IST|BKK|
BKK|SSH,|SSH|IST|BKK|
BKK|STR,|STR|IST|BKK|
BKK|SVX,|SVX|IST|BKK|
BKK|SYZ,|SYZ|IST|BKK|
BKK|SZG,|SZG|IST|BKK|
BKK|TBZ,|TBZ|IST|BKK|
BKK|TGD,|TGD|IST|BKK|
BKK|TIA,|TIA|IST|BKK|
BKK|TIF,|TIF|IST|BKK|
BKK|TIP,|TIP|IST|BKK|
BKK|TLL,|TLL|IST|BKK|
BKK|TLS,|TLS|IST|BKK|
BKK|TRN,|TRN|IST|BKK|
BKK|TUN,|TUN|IST|BKK|
BKK|TXL,|TXL|IST|BKK|
BKK|UFA,|UFA|IST|BKK|
BKK|VAS,|VAS|IST|BKK|
BKK|VCE,|VCE|IST|BKK|
BKK|YNB,|YNB|IST|BKK|
BKK|ZAG,|ZAG|IST|BKK|
BKK|MGQ,|MGQ|JIB|IST|BKK|
BKK|CPT,|CPT|JNB|IST|BKK|
BKK|MBA,|MBA|JRO|IST|BKK|
BKK|NDJ,|NDJ|KAN|IST|BKK|
BKK|CMB,|CMB|MLE|CAN|BKK|
BKK|ADE,|ADE|SAH|IST|BKK|
BKK|ASF,|ASF|SAW|ADB|IST|BKK|
BKK|STW,|STW|SAW|ADB|IST|BKK|
BKK|LFW,|LFW|ABJ|OUA|NIM|IST|BKK|
BKK|CEC,|CEC|SFO|ICN|BKK|
BKK|SMF,|SMF|SFO|ICN|BKK|
BKK|CDR,|CDR|AIA|DEN|YVR|PEK|CGO|BKK|
BKK|FMN,|FMN|DEN|YVR|PEK|CGO|BKK|
BKK|JST,|JST|IAD|PEK|CGO|BKK|
BKK|JHW,|JHW|CLE|YYZ|PEK|CGO|BKK|
BKK|SHD,|SHD|IAD|PEK|CGO|BKK|
BKK|PTY,|PTY|ORD|PEK|CGO|BKK|
BKK|FNA,|FNA|BRU|IST|BKK|
BKK|SXB,|SXB|BRU|IST|BKK|
BKK|ACV,|ACV|SFO|ICN|BKK|
BKK|MGW,|MGW|IAD|PEK|CGO|BKK|
BKK|ALB,|ALB|EWR|PEK|CGO|BKK|
BKK|AUS,|AUS|DEN|YVR|PEK|CGO|BKK|
BKK|BFD,|BFD|CLE|YYZ|PEK|CGO|BKK|
BKK|BUF,|BUF|CLE|YYZ|PEK|CGO|BKK|
BKK|CHS,|CHS|ORD|PEK|CGO|BKK|
BKK|DAY,|DAY|ORD|PEK|CGO|BKK|
BKK|DUJ,|DUJ|CLE|YYZ|PEK|CGO|BKK|
BKK|ERI,|ERI|CLE|YYZ|PEK|CGO|BKK|
BKK|FKL,|FKL|CLE|YYZ|PEK|CGO|BKK|
BKK|FNT,|FNT|CLE|YYZ|PEK|CGO|BKK|
BKK|GRR,|GRR|ORD|PEK|CGO|BKK|
BKK|GSP,|GSP|ORD|PEK|CGO|BKK|
BKK|PBI,|PBI|ATL|ORD|PEK|CGO|BKK|
BKK|PKB,|PKB|CLE|YYZ|PEK|CGO|BKK|
BKK|RIC,|RIC|IAD|PEK|CGO|BKK|
BKK|SDF,|SDF|ORD|PEK|CGO|BKK|
