HDG|HAJ,|HAJ|IST|CAN|HDG|
HDG|HBE,|HBE|IST|CAN|HDG|
HDG|HEL,|HEL|IST|CAN|HDG|
HDG|HRG,|HRG|IST|CAN|HDG|
HDG|IFN,|IFN|IST|CAN|HDG|
HDG|ISE,|ISE|IST|CAN|HDG|
HDG|ISU,|ISU|IST|CAN|HDG|
HDG|JIB,|JIB|IST|CAN|HDG|
HDG|JRO,|JRO|IST|CAN|HDG|
HDG|KAN,|KAN|IST|CAN|HDG|
HDG|KBL,|KBL|IST|CAN|HDG|
HDG|KBP,|KBP|IST|CAN|HDG|
HDG|KFS,|KFS|IST|CAN|HDG|
HDG|KHI,|KHI|IST|CAN|HDG|
HDG|KIV,|KIV|IST|CAN|HDG|
HDG|KRT,|KRT|IST|CAN|HDG|
HDG|KSH,|KSH|IST|CAN|HDG|
HDG|KVD,|KVD|IST|CAN|HDG|
HDG|KWI,|KWI|IST|CAN|HDG|
HDG|KYA,|KYA|IST|CAN|HDG|
HDG|KZN,|KZN|IST|CAN|HDG|
HDG|KZR,|KZR|IST|CAN|HDG|
HDG|LED,|LED|IST|CAN|HDG|
HDG|LEJ,|LEJ|IST|CAN|HDG|
HDG|LGW,|LGW|IST|CAN|HDG|
HDG|LHE,|LHE|IST|CAN|HDG|
HDG|LIS,|LIS|IST|CAN|HDG|
HDG|LJU,|LJU|IST|CAN|HDG|
HDG|LOS,|LOS|IST|CAN|HDG|
HDG|LUX,|LUX|IST|CAN|HDG|
HDG|LWO,|LWO|IST|CAN|HDG|
HDG|LYS,|LYS|IST|CAN|HDG|
HDG|MAD,|MAD|IST|CAN|HDG|
HDG|MAN,|MAN|IST|CAN|HDG|
HDG|MED,|MED|IST|CAN|HDG|
HDG|MHD,|MHD|IST|CAN|HDG|
HDG|MLA,|MLA|IST|CAN|HDG|
HDG|MRS,|MRS|IST|CAN|HDG|
HDG|MSQ,|MSQ|IST|CAN|HDG|
HDG|MXP,|MXP|IST|CAN|HDG|
HDG|MZH,|MZH|IST|CAN|HDG|
HDG|MZR,|MZR|IST|CAN|HDG|
HDG|NAJ,|NAJ|IST|CAN|HDG|
HDG|NAV,|NAV|IST|CAN|HDG|
HDG|NCE,|NCE|IST|CAN|HDG|
HDG|NIM,|NIM|IST|CAN|HDG|
HDG|NJF,|NJF|IST|CAN|HDG|
HDG|NSI,|NSI|IST|CAN|HDG|
HDG|NUE,|NUE|IST|CAN|HDG|
HDG|ODS,|ODS|IST|CAN|HDG|
HDG|ORN,|ORN|IST|CAN|HDG|
HDG|OTP,|OTP|IST|CAN|HDG|
HDG|PRG,|PRG|IST|CAN|HDG|
HDG|PRN,|PRN|IST|CAN|HDG|
HDG|RIX,|RIX|IST|CAN|HDG|
HDG|ROV,|ROV|IST|CAN|HDG|
HDG|RTM,|RTM|IST|CAN|HDG|
HDG|RUH,|RUH|IST|CAN|HDG|
HDG|SAH,|SAH|IST|CAN|HDG|
HDG|SJJ,|SJJ|IST|CAN|HDG|
HDG|SKG,|SKG|IST|CAN|HDG|
HDG|SKP,|SKP|IST|CAN|HDG|
HDG|SSH,|SSH|IST|CAN|HDG|
HDG|STR,|STR|IST|CAN|HDG|
HDG|SVX,|SVX|IST|CAN|HDG|
HDG|SYZ,|SYZ|IST|CAN|HDG|
HDG|SZG,|SZG|IST|CAN|HDG|
HDG|TBZ,|TBZ|IST|CAN|HDG|
HDG|TGD,|TGD|IST|CAN|HDG|
HDG|TIA,|TIA|IST|CAN|HDG|
HDG|TIF,|TIF|IST|CAN|HDG|
HDG|TIP,|TIP|IST|CAN|HDG|
HDG|TLL,|TLL|IST|CAN|HDG|
HDG|TLS,|TLS|IST|CAN|HDG|
HDG|TRN,|TRN|IST|CAN|HDG|
HDG|TUN,|TUN|IST|CAN|HDG|
HDG|TXL,|TXL|IST|CAN|HDG|
HDG|UFA,|UFA|IST|CAN|HDG|
HDG|VAS,|VAS|IST|CAN|HDG|
HDG|VCE,|VCE|IST|CAN|HDG|
HDG|YNB,|YNB|IST|CAN|HDG|
HDG|ZAG,|ZAG|IST|CAN|HDG|
HDG|MGQ,|MGQ|JIB|IST|CAN|HDG|
HDG|CPT,|CPT|JNB|IST|CAN|HDG|
HDG|MBA,|MBA|JRO|IST|CAN|HDG|
HDG|NDJ,|NDJ|KAN|IST|CAN|HDG|
HDG|CMB,|CMB|MLE|CAN|HDG|
HDG|ADE,|ADE|SAH|IST|CAN|HDG|
HDG|ASF,|ASF|SAW|TBS|URC|CAN|HDG|
HDG|STW,|STW|SAW|TBS|URC|CAN|HDG|
HDG|LFW,|LFW|ABJ|OUA|NIM|IST|CAN|HDG|
HDG|CEC,|CEC|SFO|PVG|CAN|HDG|
HDG|SMF,|SMF|SFO|PVG|CAN|HDG|
HDG|CDR,|CDR|AIA|DEN|YVR|CAN|HDG|
HDG|FMN,|FMN|DEN|YVR|CAN|HDG|
HDG|JST,|JST|IAD|PEK|CAN|HDG|
