JJN|BUS,|BUS|IST|URC|CSX|JJN|
JJN|CAI,|CAI|IST|URC|CSX|JJN|
JJN|CGN,|CGN|IST|URC|CSX|JJN|
JJN|CMN,|CMN|IST|URC|CSX|JJN|
JJN|CND,|CND|IST|URC|CSX|JJN|
JJN|DAR,|DAR|NBO|CAN|JJN|
JJN|DLM,|DLM|IST|URC|CSX|JJN|
JJN|DMM,|DMM|IST|URC|CSX|JJN|
JJN|DNK,|DNK|IST|URC|CSX|JJN|
JJN|DNZ,|DNZ|IST|URC|CSX|JJN|
JJN|DOK,|DOK|IST|URC|CSX|JJN|
JJN|DUS,|DUS|IST|URC|CSX|JJN|
JJN|EDI,|EDI|IST|URC|CSX|JJN|
JJN|ELQ,|ELQ|IST|URC|CSX|JJN|
JJN|FDH,|FDH|IST|URC|CSX|JJN|
JJN|GOA,|GOA|IST|URC|CSX|JJN|
JJN|GOT,|GOT|IST|URC|CSX|JJN|
JJN|HAJ,|HAJ|IST|URC|CSX|JJN|
JJN|HBE,|HBE|IST|URC|CSX|JJN|
JJN|HEL,|HEL|IST|URC|CSX|JJN|
JJN|HRG,|HRG|IST|URC|CSX|JJN|
JJN|IFN,|IFN|IST|URC|CSX|JJN|
JJN|ISE,|ISE|IST|URC|CSX|JJN|
JJN|ISU,|ISU|IST|URC|CSX|JJN|
JJN|JIB,|JIB|IST|URC|CSX|JJN|
JJN|JRO,|JRO|IST|URC|CSX|JJN|
JJN|KAN,|KAN|IST|URC|CSX|JJN|
JJN|KBL,|KBL|IST|URC|CSX|JJN|
JJN|KBP,|KBP|IST|URC|CSX|JJN|
JJN|KFS,|KFS|IST|URC|CSX|JJN|
JJN|KHI,|KHI|IST|URC|CSX|JJN|
JJN|KIV,|KIV|IST|URC|CSX|JJN|
JJN|KRT,|KRT|IST|URC|CSX|JJN|
JJN|KSH,|KSH|IST|URC|CSX|JJN|
JJN|KVD,|KVD|IST|URC|CSX|JJN|
JJN|KWI,|KWI|SAW|TBS|URC|CSX|JJN|
JJN|KYA,|KYA|SAW|TBS|URC|CSX|JJN|
JJN|KZN,|KZN|IST|URC|CSX|JJN|
JJN|KZR,|KZR|IST|URC|CSX|JJN|
JJN|LED,|LED|IST|URC|CSX|JJN|
JJN|LEJ,|LEJ|IST|URC|CSX|JJN|
JJN|LGW,|LGW|IST|URC|CSX|JJN|
JJN|LHE,|LHE|IST|URC|CSX|JJN|
JJN|LIS,|LIS|IST|URC|CSX|JJN|
JJN|LJU,|LJU|IST|URC|CSX|JJN|
JJN|LOS,|LOS|IST|URC|CSX|JJN|
JJN|LUX,|LUX|IST|URC|CSX|JJN|
JJN|LWO,|LWO|IST|URC|CSX|JJN|
JJN|LYS,|LYS|IST|URC|CSX|JJN|
JJN|MAD,|MAD|IST|URC|CSX|JJN|
JJN|MAN,|MAN|IST|URC|CSX|JJN|
JJN|MED,|MED|IST|URC|CSX|JJN|
JJN|MHD,|MHD|IST|URC|CSX|JJN|
JJN|MLA,|MLA|IST|URC|CSX|JJN|
JJN|MRS,|MRS|IST|URC|CSX|JJN|
JJN|MSQ,|MSQ|IST|URC|CSX|JJN|
JJN|MXP,|MXP|IST|URC|CSX|JJN|
JJN|MZH,|MZH|IST|URC|CSX|JJN|
JJN|MZR,|MZR|IST|URC|CSX|JJN|
JJN|NAJ,|NAJ|IST|URC|CSX|JJN|
JJN|NAV,|NAV|IST|URC|CSX|JJN|
JJN|NCE,|NCE|IST|URC|CSX|JJN|
JJN|NIM,|NIM|IST|URC|CSX|JJN|
JJN|NJF,|NJF|IST|URC|CSX|JJN|
JJN|NSI,|NSI|IST|URC|CSX|JJN|
JJN|NUE,|NUE|IST|URC|CSX|JJN|
JJN|ODS,|ODS|IST|URC|CSX|JJN|
JJN|ORN,|ORN|IST|URC|CSX|JJN|
JJN|OTP,|OTP|IST|URC|CSX|JJN|
JJN|PRG,|PRG|IST|URC|CSX|JJN|
JJN|PRN,|PRN|IST|URC|CSX|JJN|
JJN|RIX,|RIX|IST|URC|CSX|JJN|
JJN|ROV,|ROV|IST|URC|CSX|JJN|
JJN|RTM,|RTM|IST|URC|CSX|JJN|
JJN|RUH,|RUH|IST|URC|CSX|JJN|
JJN|SAH,|SAH|IST|URC|CSX|JJN|
JJN|SJJ,|SJJ|IST|URC|CSX|JJN|
JJN|SKG,|SKG|IST|URC|CSX|JJN|
JJN|SKP,|SKP|IST|URC|CSX|JJN|
JJN|SSH,|SSH|IST|URC|CSX|JJN|
JJN|STR,|STR|IST|URC|CSX|JJN|
JJN|SVX,|SVX|IST|URC|CSX|JJN|
JJN|SYZ,|SYZ|IST|URC|CSX|JJN|
JJN|SZG,|SZG|IST|URC|CSX|JJN|
JJN|TBZ,|TBZ|IST|URC|CSX|JJN|
JJN|TGD,|TGD|IST|URC|CSX|JJN|
JJN|TIA,|TIA|IST|URC|CSX|JJN|
JJN|TIF,|TIF|IST|URC|CSX|JJN|
JJN|TIP,|TIP|IST|URC|CSX|JJN|
JJN|TLL,|TLL|IST|URC|CSX|JJN|
JJN|TLS,|TLS|IST|URC|CSX|JJN|
JJN|TRN,|TRN|IST|URC|CSX|JJN|
JJN|TUN,|TUN|IST|URC|CSX|JJN|
JJN|TXL,|TXL|IST|URC|CSX|JJN|
JJN|UFA,|UFA|IST|URC|CSX|JJN|
JJN|VAS,|VAS|SAW|TBS|URC|CSX|JJN|
JJN|VCE,|VCE|IST|URC|CSX|JJN|
JJN|YNB,|YNB|IST|URC|CSX|JJN|
JJN|ZAG,|ZAG|IST|URC|CSX|JJN|
JJN|MGQ,|MGQ|JIB|IST|URC|CSX|JJN|
JJN|CPT,|CPT|JNB|IST|URC|CSX|JJN|
JJN|MBA,|MBA|JRO|IST|URC|CSX|JJN|
