FCO|JIB,|JIB|IST|FCO|
FCO|JRO,|JRO|IST|FCO|
FCO|KAN,|KAN|IST|FCO|
FCO|KBL,|KBL|IST|FCO|
FCO|KBP,|KBP|IST|FCO|
FCO|KFS,|KFS|IST|FCO|
FCO|KHI,|KHI|IST|FCO|
FCO|KIV,|KIV|IST|FCO|
FCO|KRT,|KRT|IST|FCO|
FCO|KSH,|KSH|IST|FCO|
FCO|KVD,|KVD|IST|FCO|
FCO|KWI,|KWI|IST|FCO|
FCO|KYA,|KYA|IST|FCO|
FCO|KZN,|KZN|IST|FCO|
FCO|KZR,|KZR|IST|FCO|
FCO|LED,|LED|IST|FCO|
FCO|LEJ,|LEJ|IST|FCO|
FCO|LGW,|LGW|IST|FCO|
FCO|LHE,|LHE|IST|FCO|
FCO|LIS,|LIS|IST|FCO|
FCO|LJU,|LJU|IST|FCO|
FCO|LOS,|LOS|IST|FCO|
FCO|LUX,|LUX|IST|FCO|
FCO|LWO,|LWO|IST|FCO|
FCO|LYS,|LYS|IST|FCO|
FCO|MAD,|MAD|IST|FCO|
FCO|MAN,|MAN|IST|FCO|
FCO|MED,|MED|IST|FCO|
FCO|MHD,|MHD|IST|FCO|
FCO|MLA,|MLA|IST|FCO|
FCO|MRS,|MRS|IST|FCO|
FCO|MSQ,|MSQ|IST|FCO|
FCO|MXP,|MXP|IST|FCO|
FCO|MZH,|MZH|IST|FCO|
FCO|MZR,|MZR|IST|FCO|
FCO|NAJ,|NAJ|IST|FCO|
FCO|NAV,|NAV|IST|FCO|
FCO|NCE,|NCE|IST|FCO|
FCO|NIM,|NIM|IST|FCO|
FCO|NJF,|NJF|IST|FCO|
FCO|NSI,|NSI|IST|FCO|
FCO|NUE,|NUE|IST|FCO|
FCO|ODS,|ODS|IST|FCO|
FCO|ORN,|ORN|IST|FCO|
FCO|OTP,|OTP|IST|FCO|
FCO|PRG,|PRG|IST|FCO|
FCO|PRN,|PRN|IST|FCO|
FCO|RIX,|RIX|IST|FCO|
FCO|ROV,|ROV|IST|FCO|
FCO|RTM,|RTM|IST|FCO|
FCO|RUH,|RUH|IST|FCO|
FCO|SAH,|SAH|IST|FCO|
FCO|SJJ,|SJJ|IST|FCO|
FCO|SKG,|SKG|IST|FCO|
FCO|SKP,|SKP|IST|FCO|
FCO|SSH,|SSH|IST|FCO|
FCO|STR,|STR|IST|FCO|
FCO|SVX,|SVX|IST|FCO|
FCO|SYZ,|SYZ|IST|FCO|
FCO|SZG,|SZG|IST|FCO|
FCO|TBZ,|TBZ|IST|FCO|
FCO|TGD,|TGD|IST|FCO|
FCO|TIA,|TIA|IST|FCO|
FCO|TIF,|TIF|IST|FCO|
FCO|TIP,|TIP|IST|FCO|
FCO|TLL,|TLL|IST|FCO|
FCO|TLS,|TLS|IST|FCO|
FCO|TRN,|TRN|IST|FCO|
FCO|TUN,|TUN|IST|FCO|
FCO|TXL,|TXL|IST|FCO|
FCO|UFA,|UFA|IST|FCO|
FCO|VAS,|VAS|IST|FCO|
FCO|VCE,|VCE|IST|FCO|
FCO|YNB,|YNB|IST|FCO|
FCO|ZAG,|ZAG|IST|FCO|
FCO|MGQ,|MGQ|JIB|IST|FCO|
FCO|CPT,|CPT|JNB|IST|FCO|
FCO|MBA,|MBA|JRO|IST|FCO|
FCO|NDJ,|NDJ|KAN|IST|FCO|
FCO|CMB,|CMB|MLE|IST|FCO|
FCO|ADE,|ADE|SAH|IST|FCO|
FCO|ASF,|ASF|SAW|ADB|IST|FCO|
FCO|STW,|STW|SAW|ADB|IST|FCO|
FCO|LFW,|LFW|ABJ|OUA|NIM|IST|FCO|
FCO|CEC,|CEC|ACV|SMF|ORD|YYZ|FCO|
FCO|SMF,|SMF|ORD|YYZ|FCO|
FCO|CDR,|CDR|AIA|DEN|YYZ|FCO|
FCO|FMN,|FMN|DEN|YYZ|FCO|
FCO|JST,|JST|IAD|FCO|
FCO|JHW,|JHW|CLE|YYZ|FCO|
FCO|SHD,|SHD|IAD|FCO|
FCO|PTY,|PTY|EWR|FCO|
FCO|FNA,|FNA|BRU|IST|FCO|
FCO|SXB,|SXB|BRU|IST|FCO|
FCO|ACV,|ACV|SMF|ORD|YYZ|FCO|
FCO|MGW,|MGW|IAD|FCO|
FCO|ALB,|ALB|EWR|FCO|
FCO|AUS,|AUS|CLE|YYZ|FCO|
FCO|BFD,|BFD|CLE|YYZ|FCO|
FCO|BUF,|BUF|EWR|FCO|
FCO|CHS,|CHS|EWR|FCO|
FCO|DAY,|DAY|CLE|YYZ|FCO|
FCO|DUJ,|DUJ|CLE|YYZ|FCO|
FCO|ERI,|ERI|CLE|YYZ|FCO|
FCO|FKL,|FKL|CLE|YYZ|FCO|
FCO|FNT,|FNT|CLE|YYZ|FCO|
FCO|GRR,|GRR|CLE|YYZ|FCO|
FCO|GSP,|GSP|EWR|FCO|
FCO|PBI,|PBI|EWR|FCO|
FCO|PKB,|PKB|CLE|YYZ|FCO|
FCO|RIC,|RIC|EWR|FCO|
FCO|SDF,|SDF|CLE|YYZ|FCO|
FCO|GUM,|GUM|FUK|ICN|IST|FCO|
FCO|WRL,|WRL|CYS|DEN|YYZ|FCO|
FCO|LBL,|FCO|
FCO|ABQ,|ABQ|ORD|YYZ|FCO|
FCO|AIA,|AIA|DEN|YYZ|FCO|
FCO|ALS,|ALS|DEN|YYZ|FCO|
FCO|AMA,|AMA|DAL|STL|YYZ|FCO|
FCO|ANC,|ANC|ORD|YYZ|FCO|
FCO|ASE,|ASE|DEN|YYZ|FCO|
FCO|BFL,|BFL|DEN|YYZ|FCO|
FCO|BHM,|BHM|BWI|EWR|FCO|
FCO|BIL,|BIL|DEN|YYZ|FCO|
FCO|BIS,|BIS|DEN|YYZ|FCO|
FCO|BOI,|BOI|ORD|YYZ|FCO|
FCO|BUR,|BUR|DEN|YYZ|FCO|
FCO|BZN,|BZN|ORD|YYZ|FCO|
FCO|CID,|CID|ORD|YYZ|FCO|
FCO|COD,|COD|DEN|YYZ|FCO|
FCO|COS,|COS|ORD|YYZ|FCO|
FCO|CPR,|CPR|DEN|YYZ|FCO|
FCO|CYS,|CYS|DEN|YYZ|FCO|
FCO|DIK,|DIK|DEN|YYZ|FCO|
FCO|DRO,|DRO|DEN|YYZ|FCO|
FCO|DSM,|DSM|ORD|YYZ|FCO|
FCO|EGE,|EGE|DEN|YYZ|FCO|
FCO|ELP,|ELP|DAL|STL|YYZ|FCO|
FCO|EUG,|EUG|PDX|ORD|YYZ|FCO|
FCO|FAR,|FAR|ORD|YYZ|FCO|
