CLE|BGW,|BGW|ESB|VIE|YYZ|CLE|
CLE|EBL,|EBL|IST|YYZ|CLE|
CLE|VKO,|VKO|IST|YYZ|CLE|
CLE|MCT,|MCT|AUH|YYZ|CLE|
CLE|AYT,|AYT|IST|YYZ|CLE|
CLE|SCQ,|SCQ|BIO|IST|YYZ|CLE|
CLE|AAL,|AAL|IST|YYZ|CLE|
CLE|AOE,|AOE|BRU|YUL|YYZ|CLE|
CLE|JNB,|JNB|DKR|IAD|CLE|
CLE|LBV,|LBV|DLA|BRU|YUL|YYZ|CLE|
CLE|ADA,|ADA|SAW|VIE|YYZ|CLE|
CLE|ADB,|ADB|IST|YYZ|CLE|
CLE|ADF,|ADF|ESB|VIE|YYZ|CLE|
CLE|AJI,|AJI|ESB|VIE|YYZ|CLE|
CLE|BAL,|BAL|ESB|VIE|YYZ|CLE|
CLE|BJV,|BJV|IST|YYZ|CLE|
CLE|CKZ,|CKZ|ESB|VIE|YYZ|CLE|
CLE|DIY,|DIY|ESB|VIE|YYZ|CLE|
CLE|ECN,|ECN|IST|YYZ|CLE|
CLE|ERC,|ERC|ESB|VIE|YYZ|CLE|
CLE|ERZ,|ERZ|ESB|VIE|YYZ|CLE|
CLE|EZS,|EZS|ESB|VIE|YYZ|CLE|
CLE|GNY,|GNY|ESB|VIE|YYZ|CLE|
CLE|GZP,|GZP|ESB|VIE|YYZ|CLE|
CLE|GZT,|GZT|ESB|VIE|YYZ|CLE|
CLE|HTY,|HTY|SAW|VIE|YYZ|CLE|
CLE|KCM,|KCM|ESB|VIE|YYZ|CLE|
CLE|KSY,|KSY|ESB|VIE|YYZ|CLE|
CLE|MLX,|MLX|ESB|VIE|YYZ|CLE|
CLE|MQM,|MQM|ESB|VIE|YYZ|CLE|
CLE|MSR,|MSR|ESB|VIE|YYZ|CLE|
CLE|TEQ,|TEQ|ESB|VIE|YYZ|CLE|
CLE|TZX,|TZX|ESB|VIE|YYZ|CLE|
CLE|VAN,|VAN|ESB|VIE|YYZ|CLE|
CLE|ULN,|ULN|FRU|IST|YYZ|CLE|
CLE|HIJ,|HIJ|ICN|YVR|ORD|CLE|
CLE|VVO,|VVO|ICN|YVR|ORD|CLE|
CLE|ACC,|ACC|IST|YYZ|CLE|
CLE|AER,|AER|IST|YYZ|CLE|
CLE|AGP,|AGP|IST|YYZ|CLE|
CLE|ALG,|ALG|IST|YYZ|CLE|
CLE|AMM,|AMM|IST|YYZ|CLE|
CLE|AQJ,|AQJ|IST|YYZ|CLE|
CLE|ARN,|ARN|EWR|CLE|
CLE|ASR,|ASR|SAW|VIE|YYZ|CLE|
CLE|ATH,|ATH|IST|YYZ|CLE|
CLE|BAH,|BAH|IST|YYZ|CLE|
CLE|BEG,|BEG|IST|YYZ|CLE|
CLE|BEN,|BEN|IST|YYZ|CLE|
CLE|BEY,|BEY|IST|YYZ|CLE|
CLE|BHX,|BHX|EWR|CLE|
CLE|BIO,|BIO|IST|YYZ|CLE|
CLE|BLQ,|BLQ|IST|YYZ|CLE|
CLE|BOM,|BOM|EWR|CLE|
CLE|BRE,|BRE|IST|YYZ|CLE|
CLE|BSL,|BSL|IST|YYZ|CLE|
CLE|BSR,|BSR|IST|YYZ|CLE|
CLE|BUD,|BUD|IST|YYZ|CLE|
CLE|BUS,|BUS|IST|YYZ|CLE|
CLE|CAI,|CAI|IST|YYZ|CLE|
CLE|CGN,|CGN|IST|YYZ|CLE|
CLE|CMN,|CMN|IST|YYZ|CLE|
CLE|CND,|CND|IST|YYZ|CLE|
CLE|DAR,|DAR|NBO|ZRH|YYZ|CLE|
CLE|DLM,|DLM|IST|YYZ|CLE|
CLE|DMM,|DMM|IST|YYZ|CLE|
CLE|DNK,|DNK|IST|YYZ|CLE|
CLE|DNZ,|DNZ|IST|YYZ|CLE|
CLE|DOK,|DOK|IST|YYZ|CLE|
CLE|DUS,|DUS|EWR|CLE|
CLE|EDI,|EDI|EWR|CLE|
CLE|ELQ,|ELQ|IST|YYZ|CLE|
CLE|FDH,|FDH|IST|YYZ|CLE|
CLE|GOA,|GOA|IST|YYZ|CLE|
CLE|GOT,|GOT|BRU|YUL|YYZ|CLE|
CLE|HAJ,|HAJ|BRU|YUL|YYZ|CLE|
CLE|HBE,|HBE|IST|YYZ|CLE|
CLE|HEL,|HEL|IST|YYZ|CLE|
CLE|HRG,|HRG|IST|YYZ|CLE|
CLE|IFN,|IFN|IST|YYZ|CLE|
CLE|ISE,|ISE|IST|YYZ|CLE|
CLE|ISU,|ISU|IST|YYZ|CLE|
CLE|JIB,|JIB|IST|YYZ|CLE|
CLE|JRO,|JRO|IST|YYZ|CLE|
CLE|KAN,|KAN|IST|YYZ|CLE|
CLE|KBL,|KBL|IST|YYZ|CLE|
CLE|KBP,|KBP|IST|YYZ|CLE|
CLE|KFS,|KFS|IST|YYZ|CLE|
CLE|KHI,|KHI|IST|YYZ|CLE|
CLE|KIV,|KIV|IST|YYZ|CLE|
CLE|KRT,|KRT|IST|YYZ|CLE|
CLE|KSH,|KSH|IST|YYZ|CLE|
CLE|KVD,|KVD|IST|YYZ|CLE|
CLE|KWI,|KWI|SAW|VIE|YYZ|CLE|
CLE|KYA,|KYA|IST|YYZ|CLE|
CLE|KZN,|KZN|IST|YYZ|CLE|
CLE|KZR,|KZR|IST|YYZ|CLE|
CLE|LED,|LED|VIE|YYZ|CLE|
CLE|LEJ,|LEJ|IST|YYZ|CLE|
CLE|LGW,|LGW|IST|YYZ|CLE|
CLE|LHE,|LHE|IST|YYZ|CLE|
CLE|LIS,|LIS|EWR|CLE|
CLE|LJU,|LJU|IST|YYZ|CLE|
CLE|LOS,|LOS|FRA|YYZ|CLE|
CLE|LUX,|LUX|IST|YYZ|CLE|
CLE|LWO,|LWO|IST|YYZ|CLE|
CLE|LYS,|LYS|IST|YYZ|CLE|
CLE|MAD,|MAD|EWR|CLE|
CLE|MAN,|MAN|EWR|CLE|
CLE|MED,|MED|IST|YYZ|CLE|
CLE|MHD,|MHD|IST|YYZ|CLE|
CLE|MLA,|MLA|IST|YYZ|CLE|
CLE|MRS,|MRS|IST|YYZ|CLE|
CLE|MSQ,|MSQ|IST|YYZ|CLE|
CLE|MXP,|MXP|EWR|CLE|
CLE|MZH,|MZH|IST|YYZ|CLE|
CLE|MZR,|MZR|IST|YYZ|CLE|
CLE|NAJ,|NAJ|IST|YYZ|CLE|
CLE|NAV,|NAV|IST|YYZ|CLE|
CLE|NCE,|NCE|IST|YYZ|CLE|
CLE|NIM,|NIM|IST|YYZ|CLE|
CLE|NJF,|NJF|IST|YYZ|CLE|
CLE|NSI,|NSI|BRU|YUL|YYZ|CLE|
CLE|NUE,|NUE|IST|YYZ|CLE|
CLE|ODS,|ODS|IST|YYZ|CLE|
CLE|ORN,|ORN|IST|YYZ|CLE|
CLE|OTP,|OTP|IST|YYZ|CLE|
CLE|PRG,|PRG|BRU|YUL|YYZ|CLE|
CLE|PRN,|PRN|IST|YYZ|CLE|
CLE|RIX,|RIX|IST|YYZ|CLE|
CLE|ROV,|ROV|IST|YYZ|CLE|
CLE|RTM,|RTM|IST|YYZ|CLE|
CLE|RUH,|RUH|IST|YYZ|CLE|
CLE|SAH,|SAH|IST|YYZ|CLE|
CLE|SJJ,|SJJ|IST|YYZ|CLE|
CLE|SKG,|SKG|IST|YYZ|CLE|
CLE|SKP,|SKP|IST|YYZ|CLE|
CLE|SSH,|SSH|IST|YYZ|CLE|
CLE|STR,|STR|EWR|CLE|
CLE|SVX,|SVX|IST|YYZ|CLE|
CLE|SYZ,|SYZ|IST|YYZ|CLE|
CLE|SZG,|SZG|IST|YYZ|CLE|
CLE|TBZ,|TBZ|IST|YYZ|CLE|
CLE|TGD,|TGD|IST|YYZ|CLE|
CLE|TIA,|TIA|IST|YYZ|CLE|
CLE|TIF,|TIF|IST|YYZ|CLE|
CLE|TIP,|TIP|IST|YYZ|CLE|
CLE|TLL,|TLL|VNO|CPH|YYZ|CLE|
CLE|TLS,|TLS|IST|YYZ|CLE|
CLE|TRN,|TRN|IST|YYZ|CLE|
CLE|TUN,|TUN|IST|YYZ|CLE|
CLE|TXL,|TXL|EWR|CLE|
CLE|UFA,|UFA|IST|YYZ|CLE|
CLE|VAS,|VAS|SAW|VIE|YYZ|CLE|
CLE|VCE,|VCE|IST|YYZ|CLE|
CLE|YNB,|YNB|IST|YYZ|CLE|
CLE|ZAG,|ZAG|IST|YYZ|CLE|
CLE|MGQ,|MGQ|JIB|IST|YYZ|CLE|
CLE|CPT,|CPT|JNB|DKR|IAD|CLE|
CLE|MBA,|MBA|JRO|IST|YYZ|CLE|
CLE|NDJ,|NDJ|KAN|IST|YYZ|CLE|
