JST|SJJ,|SJJ|IST|IAD|JST|
JST|SKG,|SKG|IST|IAD|JST|
JST|SKP,|SKP|IST|IAD|JST|
JST|SSH,|SSH|IST|IAD|JST|
JST|STR,|STR|EWR|IAD|JST|
JST|SVX,|SVX|IST|IAD|JST|
JST|SYZ,|SYZ|IST|IAD|JST|
JST|SZG,|SZG|IST|IAD|JST|
JST|TBZ,|TBZ|IST|IAD|JST|
JST|TGD,|TGD|IST|IAD|JST|
JST|TIA,|TIA|IST|IAD|JST|
JST|TIF,|TIF|IST|IAD|JST|
JST|TIP,|TIP|IST|IAD|JST|
JST|TLL,|TLL|VNO|CPH|YYZ|IAD|JST|
JST|TLS,|TLS|IST|IAD|JST|
JST|TRN,|TRN|IST|IAD|JST|
JST|TUN,|TUN|IST|IAD|JST|
JST|TXL,|TXL|EWR|IAD|JST|
JST|UFA,|UFA|IST|IAD|JST|
JST|VAS,|VAS|SAW|FRA|IAD|JST|
JST|VCE,|VCE|IST|IAD|JST|
JST|YNB,|YNB|IST|IAD|JST|
JST|ZAG,|ZAG|IST|IAD|JST|
JST|MGQ,|MGQ|JIB|IST|IAD|JST|
JST|CPT,|CPT|JNB|DKR|IAD|JST|
JST|MBA,|MBA|JRO|IST|IAD|JST|
JST|NDJ,|NDJ|KAN|IST|IAD|JST|
JST|CMB,|CMB|MLE|IST|IAD|JST|
JST|ADE,|ADE|SAH|IST|IAD|JST|
JST|ASF,|ASF|SAW|FRA|IAD|JST|
JST|STW,|STW|SAW|FRA|IAD|JST|
JST|LFW,|LFW|ABJ|BRU|IAD|JST|
JST|CEC,|CEC|ACV|SMF|IAD|JST|
JST|SMF,|SMF|IAD|JST|
JST|CDR,|CDR|AIA|DEN|IAD|JST|
JST|FMN,|FMN|DEN|IAD|JST|
JST|JHW,|JHW|CLE|IAD|JST|
JST|SHD,|SHD|IAD|JST|
JST|PTY,|PTY|IAD|JST|
JST|FNA,|FNA|BRU|IAD|JST|
JST|SXB,|SXB|BRU|IAD|JST|
JST|ACV,|ACV|SMF|IAD|JST|
JST|MGW,|MGW|IAD|JST|
JST|ALB,|ALB|IAD|JST|
JST|AUS,|AUS|IAD|JST|
JST|BFD,|BFD|CLE|IAD|JST|
JST|BUF,|BUF|IAD|JST|
JST|CHS,|CHS|IAD|JST|
JST|DAY,|DAY|IAD|JST|
JST|DUJ,|DUJ|CLE|IAD|JST|
JST|ERI,|ERI|CLE|IAD|JST|
JST|FKL,|FKL|CLE|IAD|JST|
JST|FNT,|FNT|CLE|IAD|JST|
JST|GRR,|GRR|IAD|JST|
JST|GSP,|GSP|IAD|JST|
