EBB|NNY,|NNY|CGO|URC|IST|EBB|
EBB|PEN,|PEN|CAN|IST|EBB|
EBB|PER,|PER|BKK|IST|EBB|
EBB|PNH,|PNH|CAN|IST|EBB|
EBB|REP,|REP|CAN|IST|EBB|
EBB|RGN,|RGN|CAN|IST|EBB|
EBB|SGN,|SGN|BKK|IST|EBB|
EBB|SHA,|SHA|URC|IST|EBB|
EBB|SIN,|SIN|IST|EBB|
EBB|SVO,|SVO|URC|IST|EBB|
EBB|SYX,|SYX|CKG|URC|IST|EBB|
EBB|TAO,|TAO|TYN|URC|IST|EBB|
EBB|TEN,|TEN|CAN|IST|EBB|
EBB|TNA,|TNA|URC|IST|EBB|
EBB|TPE,|TPE|URC|IST|EBB|
EBB|TSN,|TSN|HET|URC|IST|EBB|
EBB|TXN,|TXN|TYN|URC|IST|EBB|
EBB|TYN,|TYN|URC|IST|EBB|
EBB|WNZ,|WNZ|XIY|URC|IST|EBB|
EBB|WUX,|WUX|CAN|IST|EBB|
EBB|XFN,|XFN|CAN|IST|EBB|
EBB|XIY,|XIY|URC|IST|EBB|
EBB|XUZ,|XUZ|INC|URC|IST|EBB|
EBB|YIH,|YIH|CKG|URC|IST|EBB|
EBB|YIW,|YIW|URC|IST|EBB|
EBB|YNT,|YNT|SHE|PEK|IST|EBB|
EBB|YNZ,|YNZ|WUH|URC|IST|EBB|
EBB|YTY,|YTY|CGO|URC|IST|EBB|
EBB|ZHA,|ZHA|CAN|IST|EBB|
EBB|ZYI,|ZYI|CAN|IST|EBB|
EBB|BAV,|BAV|URC|IST|EBB|
EBB|CJU,|CJU|DLC|PEK|IST|EBB|
EBB|DSN,|DSN|CGO|URC|IST|EBB|
EBB|HMI,|HMI|URC|IST|EBB|
EBB|INC,|INC|URC|IST|EBB|
EBB|KHH,|KHH|WUH|URC|IST|EBB|
EBB|UYN,|UYN|XIY|URC|IST|EBB|
EBB|XNN,|XNN|URC|IST|EBB|
EBB|ZUH,|ZUH|KWE|URC|IST|EBB|
EBB|YNJ,|YNJ|PEK|IST|EBB|
EBB|DAT,|DAT|TYN|URC|IST|EBB|
EBB|JHG,|JHG|KMG|CTU|URC|IST|EBB|
EBB|LJG,|LJG|KMG|CTU|URC|IST|EBB|
EBB|LXA,|LXA|CKG|URC|IST|EBB|
EBB|YCU,|YCU|CKG|URC|IST|EBB|
EBB|LZO,|LZO|CSX|URC|IST|EBB|
EBB|MDG,|MDG|DLC|PEK|IST|EBB|
EBB|NGO,|NGO|ICN|IST|EBB|
EBB|TOY,|TOY|DLC|PEK|IST|EBB|
EBB|MFM,|MFM|XMN|CSX|URC|IST|EBB|
EBB|TGO,|TGO|HET|URC|IST|EBB|
EBB|XIL,|XIL|HET|URC|IST|EBB|
EBB|HEK,|HEK|HRB|PEK|IST|EBB|
EBB|KIJ,|KIJ|HRB|PEK|IST|EBB|
EBB|LDS,|LDS|HRB|PEK|IST|EBB|
EBB|OHE,|OHE|HRB|PEK|IST|EBB|
EBB|HSN,|HSN|LYG|XUZ|INC|URC|IST|EBB|
EBB|DLU,|DLU|KMG|CTU|URC|IST|EBB|
EBB|SYM,|SYM|KMG|CTU|URC|IST|EBB|
EBB|ZAT,|ZAT|KMG|CTU|URC|IST|EBB|
EBB|LUN,|LUN|NBO|IST|EBB|
EBB|AOG,|AOG|PEK|IST|EBB|
EBB|GMP,|GMP|PEK|IST|EBB|
EBB|ISB,|ISB|IST|EBB|
EBB|TAS,|TAS|IST|EBB|
EBB|WUS,|WUS|PEK|IST|EBB|
EBB|JMU,|JMU|PVG|IST|EBB|
EBB|NDG,|NDG|PVG|IST|EBB|
EBB|JXA,|JXA|SHE|PEK|IST|EBB|
EBB|PUS,|PUS|SHE|PEK|IST|EBB|
EBB|BKI,|BKI|SZX|CKG|URC|IST|EBB|
EBB|AKU,|AKU|URC|IST|EBB|
EBB|ALA,|ALA|IST|EBB|
EBB|ASB,|ASB|IST|EBB|
EBB|DNH,|DNH|URC|IST|EBB|
EBB|DYU,|DYU|IST|EBB|
EBB|FRU,|FRU|IST|EBB|
EBB|GYD,|GYD|IST|EBB|
EBB|HTN,|HTN|URC|IST|EBB|
EBB|IKA,|IKA|IST|EBB|
EBB|KCA,|KCA|URC|IST|EBB|
EBB|KHG,|KHG|URC|IST|EBB|
EBB|KRL,|KRL|URC|IST|EBB|
EBB|KRY,|KRY|URC|IST|EBB|
EBB|LBD,|LBD|URC|IST|EBB|
EBB|NLT,|NLT|URC|IST|EBB|
EBB|OSS,|OSS|IST|EBB|
EBB|OVB,|OVB|IST|EBB|
EBB|TBS,|TBS|IST|EBB|
EBB|TCG,|TCG|URC|IST|EBB|
EBB|TSE,|TSE|IST|EBB|
EBB|YIN,|YIN|URC|IST|EBB|
EBB|ENH,|ENH|WUH|URC|IST|EBB|
EBB|ENY,|ENY|XIY|URC|IST|EBB|
EBB|WXN,|WXN|XIY|URC|IST|EBB|
EBB|BLL,|BLL|IST|EBB|
EBB|ESB,|ESB|IST|EBB|
