MBS|HAM,|HAM|EWR|ORD|MBS|
MBS|HRE,|HRE|ADD|IST|ORD|MBS|
MBS|JUB,|JUB|CAI|IST|ORD|MBS|
MBS|SSG,|SSG|DLA|BRU|ORD|MBS|
MBS|BGW,|BGW|ESB|VIE|ORD|MBS|
MBS|EBL,|EBL|IST|ORD|MBS|
MBS|VKO,|VKO|IST|ORD|MBS|
MBS|MCT,|MCT|IST|ORD|MBS|
MBS|AYT,|AYT|IST|ORD|MBS|
MBS|SCQ,|SCQ|BIO|IST|ORD|MBS|
MBS|AAL,|AAL|IST|ORD|MBS|
MBS|AOE,|AOE|BRU|ORD|MBS|
MBS|JNB,|JNB|DKR|IAD|ORD|MBS|
MBS|LBV,|LBV|DLA|BRU|ORD|MBS|
MBS|ADA,|ADA|IST|ORD|MBS|
MBS|ADB,|ADB|IST|ORD|MBS|
MBS|ADF,|ADF|ESB|VIE|ORD|MBS|
MBS|AJI,|AJI|ESB|VIE|ORD|MBS|
MBS|BAL,|BAL|ESB|VIE|ORD|MBS|
MBS|BJV,|BJV|IST|ORD|MBS|
MBS|CKZ,|CKZ|ESB|VIE|ORD|MBS|
MBS|DIY,|DIY|ESB|VIE|ORD|MBS|
MBS|ECN,|ECN|IST|ORD|MBS|
MBS|ERC,|ERC|ESB|VIE|ORD|MBS|
MBS|ERZ,|ERZ|ESB|VIE|ORD|MBS|
MBS|EZS,|EZS|ESB|VIE|ORD|MBS|
MBS|GNY,|GNY|ESB|VIE|ORD|MBS|
MBS|GZP,|GZP|ESB|VIE|ORD|MBS|
MBS|GZT,|GZT|ESB|VIE|ORD|MBS|
MBS|HTY,|HTY|IST|ORD|MBS|
MBS|KCM,|KCM|ESB|VIE|ORD|MBS|
MBS|KSY,|KSY|ESB|VIE|ORD|MBS|
MBS|MLX,|MLX|ESB|VIE|ORD|MBS|
MBS|MQM,|MQM|ESB|VIE|ORD|MBS|
MBS|MSR,|MSR|ESB|VIE|ORD|MBS|
MBS|TEQ,|TEQ|ESB|VIE|ORD|MBS|
MBS|TZX,|TZX|ESB|VIE|ORD|MBS|
MBS|VAN,|VAN|ESB|VIE|ORD|MBS|
MBS|ULN,|ULN|FRU|IST|ORD|MBS|
MBS|HIJ,|HIJ|ICN|YVR|ORD|MBS|
MBS|VVO,|VVO|ICN|YVR|ORD|MBS|
MBS|ACC,|ACC|IST|ORD|MBS|
MBS|AER,|AER|IST|ORD|MBS|
MBS|AGP,|AGP|IST|ORD|MBS|
MBS|ALG,|ALG|IST|ORD|MBS|
