NSI|LHE,|LHE|IST|DLA|NSI|
NSI|LIS,|LIS|IST|DLA|NSI|
NSI|LJU,|LJU|IST|DLA|NSI|
NSI|LOS,|LOS|IST|DLA|NSI|
NSI|LUX,|LUX|IST|DLA|NSI|
NSI|LWO,|LWO|IST|DLA|NSI|
NSI|LYS,|LYS|IST|DLA|NSI|
NSI|MAD,|MAD|IST|DLA|NSI|
NSI|MAN,|MAN|BRU|NSI|
NSI|MED,|MED|IST|DLA|NSI|
NSI|MHD,|MHD|IST|DLA|NSI|
NSI|MLA,|MLA|IST|DLA|NSI|
NSI|MRS,|MRS|IST|DLA|NSI|
NSI|MSQ,|MSQ|IST|DLA|NSI|
NSI|MXP,|MXP|IST|DLA|NSI|
NSI|MZH,|MZH|IST|DLA|NSI|
NSI|MZR,|MZR|IST|DLA|NSI|
NSI|NAJ,|NAJ|IST|DLA|NSI|
NSI|NAV,|NAV|IST|DLA|NSI|
NSI|NCE,|NCE|IST|DLA|NSI|
NSI|NIM,|NIM|IST|DLA|NSI|
NSI|NJF,|NJF|IST|DLA|NSI|
NSI|NUE,|NUE|IST|DLA|NSI|
NSI|ODS,|ODS|IST|DLA|NSI|
NSI|ORN,|ORN|IST|DLA|NSI|
NSI|OTP,|OTP|IST|DLA|NSI|
NSI|PRG,|PRG|BRU|NSI|
NSI|PRN,|PRN|IST|DLA|NSI|
NSI|RIX,|RIX|IST|DLA|NSI|
NSI|ROV,|ROV|IST|DLA|NSI|
NSI|RTM,|RTM|IST|DLA|NSI|
NSI|RUH,|RUH|IST|DLA|NSI|
NSI|SAH,|SAH|IST|DLA|NSI|
NSI|SJJ,|SJJ|IST|DLA|NSI|
NSI|SKG,|SKG|IST|DLA|NSI|
NSI|SKP,|SKP|IST|DLA|NSI|
NSI|SSH,|SSH|IST|DLA|NSI|
NSI|STR,|STR|IST|DLA|NSI|
NSI|SVX,|SVX|IST|DLA|NSI|
NSI|SYZ,|SYZ|IST|DLA|NSI|
NSI|SZG,|SZG|IST|DLA|NSI|
NSI|TBZ,|TBZ|IST|DLA|NSI|
NSI|TGD,|TGD|IST|DLA|NSI|
NSI|TIA,|TIA|IST|DLA|NSI|
NSI|TIF,|TIF|IST|DLA|NSI|
NSI|TIP,|TIP|IST|DLA|NSI|
NSI|TLL,|TLL|IST|DLA|NSI|
NSI|TLS,|TLS|IST|DLA|NSI|
NSI|TRN,|TRN|IST|DLA|NSI|
