YIW|OSS,|OSS|URC|YIW|
YIW|OVB,|OVB|URC|YIW|
YIW|TBS,|TBS|URC|YIW|
YIW|TCG,|TCG|URC|YIW|
YIW|TSE,|TSE|URC|YIW|
YIW|YIN,|YIN|URC|YIW|
YIW|ENH,|ENH|WUH|XMN|YIW|
YIW|ENY,|ENY|XIY|UYN|CGO|YIW|
YIW|WXN,|WXN|XMN|YIW|
YIW|BLL,|BLL|IST|URC|YIW|
YIW|ESB,|ESB|SAW|TBS|URC|YIW|
YIW|SAW,|SAW|TBS|URC|YIW|
YIW|HAM,|HAM|IST|URC|YIW|
YIW|HRE,|HRE|ADD|IST|URC|YIW|
YIW|JUB,|JUB|CAI|IST|URC|YIW|
YIW|SSG,|SSG|DLA|IST|URC|YIW|
YIW|BGW,|BGW|ESB|SAW|TBS|URC|YIW|
YIW|EBL,|EBL|IST|URC|YIW|
YIW|VKO,|VKO|IST|URC|YIW|
YIW|MCT,|MCT|IST|URC|YIW|
YIW|AYT,|AYT|IST|URC|YIW|
YIW|SCQ,|SCQ|BIO|IST|URC|YIW|
YIW|AAL,|AAL|IST|URC|YIW|
YIW|AOE,|AOE|BRU|IST|URC|YIW|
YIW|JNB,|JNB|IST|URC|YIW|
YIW|LBV,|LBV|DLA|IST|URC|YIW|
YIW|ADA,|ADA|SAW|TBS|URC|YIW|
YIW|ADB,|ADB|IST|URC|YIW|
YIW|ADF,|ADF|ESB|SAW|TBS|URC|YIW|
YIW|AJI,|AJI|ESB|SAW|TBS|URC|YIW|
YIW|BAL,|BAL|ESB|SAW|TBS|URC|YIW|
YIW|BJV,|BJV|IST|URC|YIW|
YIW|CKZ,|CKZ|ESB|SAW|TBS|URC|YIW|
YIW|DIY,|DIY|SAW|TBS|URC|YIW|
YIW|ECN,|ECN|SAW|TBS|URC|YIW|
YIW|ERC,|ERC|ESB|SAW|TBS|URC|YIW|
YIW|ERZ,|ERZ|SAW|TBS|URC|YIW|
YIW|EZS,|EZS|SAW|TBS|URC|YIW|
YIW|GNY,|GNY|ESB|SAW|TBS|URC|YIW|
YIW|GZP,|GZP|ESB|SAW|TBS|URC|YIW|
YIW|GZT,|GZT|SAW|TBS|URC|YIW|
YIW|HTY,|HTY|SAW|TBS|URC|YIW|
YIW|KCM,|KCM|ESB|SAW|TBS|URC|YIW|
YIW|KSY,|KSY|SAW|TBS|URC|YIW|
YIW|MLX,|MLX|ESB|SAW|TBS|URC|YIW|
YIW|MQM,|MQM|SAW|TBS|URC|YIW|
YIW|MSR,|MSR|ESB|SAW|TBS|URC|YIW|
YIW|TEQ,|TEQ|ESB|SAW|TBS|URC|YIW|
YIW|TZX,|TZX|SAW|TBS|URC|YIW|
YIW|VAN,|VAN|SAW|TBS|URC|YIW|
YIW|ULN,|ULN|FRU|URC|YIW|
YIW|HIJ,|HIJ|ICN|SHE|YIW|
YIW|VVO,|VVO|ICN|SHE|YIW|
YIW|ACC,|ACC|IST|URC|YIW|
YIW|AER,|AER|IST|URC|YIW|
YIW|AGP,|AGP|IST|URC|YIW|
YIW|ALG,|ALG|IST|URC|YIW|
YIW|AMM,|AMM|IST|URC|YIW|
YIW|AQJ,|AQJ|IST|URC|YIW|
YIW|ARN,|ARN|IST|URC|YIW|
YIW|ASR,|ASR|SAW|TBS|URC|YIW|
YIW|ATH,|ATH|IST|URC|YIW|
YIW|BAH,|BAH|KWI|SAW|TBS|URC|YIW|
YIW|BEG,|BEG|IST|URC|YIW|
YIW|BEN,|BEN|IST|URC|YIW|
YIW|BEY,|BEY|IST|URC|YIW|
YIW|BHX,|BHX|IST|URC|YIW|
YIW|BIO,|BIO|IST|URC|YIW|
YIW|BLQ,|BLQ|IST|URC|YIW|
YIW|BOM,|BOM|IST|URC|YIW|
YIW|BRE,|BRE|IST|URC|YIW|
YIW|BSL,|BSL|IST|URC|YIW|
YIW|BSR,|BSR|IST|URC|YIW|
YIW|BUD,|BUD|IST|URC|YIW|
YIW|BUS,|BUS|IST|URC|YIW|
YIW|CAI,|CAI|IST|URC|YIW|
YIW|CGN,|CGN|IST|URC|YIW|
YIW|CMN,|CMN|IST|URC|YIW|
YIW|CND,|CND|IST|URC|YIW|
YIW|DAR,|DAR|NBO|CAN|YIW|
YIW|DLM,|DLM|IST|URC|YIW|
YIW|DMM,|DMM|IST|URC|YIW|
YIW|DNK,|DNK|IST|URC|YIW|
YIW|DNZ,|DNZ|IST|URC|YIW|
YIW|DOK,|DOK|IST|URC|YIW|
YIW|DUS,|DUS|IST|URC|YIW|
YIW|EDI,|EDI|IST|URC|YIW|
YIW|ELQ,|ELQ|IST|URC|YIW|
YIW|FDH,|FDH|IST|URC|YIW|
YIW|GOA,|GOA|IST|URC|YIW|
YIW|GOT,|GOT|IST|URC|YIW|
YIW|HAJ,|HAJ|IST|URC|YIW|
YIW|HBE,|HBE|IST|URC|YIW|
YIW|HEL,|HEL|IST|URC|YIW|
YIW|HRG,|HRG|IST|URC|YIW|
YIW|IFN,|IFN|IST|URC|YIW|
YIW|ISE,|ISE|IST|URC|YIW|
YIW|ISU,|ISU|IST|URC|YIW|
YIW|JIB,|JIB|IST|URC|YIW|
YIW|JRO,|JRO|IST|URC|YIW|
YIW|KAN,|KAN|IST|URC|YIW|
YIW|KBL,|KBL|IST|URC|YIW|
YIW|KBP,|KBP|IST|URC|YIW|
YIW|KFS,|KFS|IST|URC|YIW|
YIW|KHI,|KHI|IST|URC|YIW|
YIW|KIV,|KIV|IST|URC|YIW|
YIW|KRT,|KRT|IST|URC|YIW|
YIW|KSH,|KSH|IST|URC|YIW|
YIW|KVD,|KVD|IST|URC|YIW|
YIW|KWI,|KWI|SAW|TBS|URC|YIW|
YIW|KYA,|KYA|SAW|TBS|URC|YIW|
YIW|KZN,|KZN|IST|URC|YIW|
YIW|KZR,|KZR|IST|URC|YIW|
YIW|LED,|LED|IST|URC|YIW|
YIW|LEJ,|LEJ|IST|URC|YIW|
YIW|LGW,|LGW|IST|URC|YIW|
YIW|LHE,|LHE|IST|URC|YIW|
YIW|LIS,|LIS|IST|URC|YIW|
YIW|LJU,|LJU|IST|URC|YIW|
YIW|LOS,|LOS|IST|URC|YIW|
YIW|LUX,|LUX|IST|URC|YIW|
YIW|LWO,|LWO|IST|URC|YIW|
YIW|LYS,|LYS|IST|URC|YIW|
YIW|MAD,|MAD|IST|URC|YIW|
YIW|MAN,|MAN|IST|URC|YIW|
YIW|MED,|MED|IST|URC|YIW|
YIW|MHD,|MHD|IST|URC|YIW|
YIW|MLA,|MLA|IST|URC|YIW|
YIW|MRS,|MRS|IST|URC|YIW|
YIW|MSQ,|MSQ|IST|URC|YIW|
YIW|MXP,|MXP|IST|URC|YIW|
YIW|MZH,|MZH|IST|URC|YIW|
YIW|MZR,|MZR|IST|URC|YIW|
YIW|NAJ,|NAJ|IST|URC|YIW|
YIW|NAV,|NAV|IST|URC|YIW|
YIW|NCE,|NCE|IST|URC|YIW|
YIW|NIM,|NIM|IST|URC|YIW|
YIW|NJF,|NJF|IST|URC|YIW|
YIW|NSI,|NSI|IST|URC|YIW|
YIW|NUE,|NUE|IST|URC|YIW|
YIW|ODS,|ODS|IST|URC|YIW|
YIW|ORN,|ORN|IST|URC|YIW|
YIW|OTP,|OTP|IST|URC|YIW|
YIW|PRG,|PRG|IST|URC|YIW|
YIW|PRN,|PRN|IST|URC|YIW|
YIW|RIX,|RIX|IST|URC|YIW|
YIW|ROV,|ROV|IST|URC|YIW|
YIW|RTM,|RTM|IST|URC|YIW|
YIW|RUH,|RUH|IST|URC|YIW|
YIW|SAH,|SAH|IST|URC|YIW|
YIW|SJJ,|SJJ|IST|URC|YIW|
YIW|SKG,|SKG|IST|URC|YIW|
YIW|SKP,|SKP|IST|URC|YIW|
YIW|SSH,|SSH|IST|URC|YIW|
