PIA|SKG,|SKG|IST|ORD|PIA|
PIA|SKP,|SKP|IST|ORD|PIA|
PIA|SSH,|SSH|IST|ORD|PIA|
PIA|STR,|STR|EWR|ORD|PIA|
PIA|SVX,|SVX|IST|ORD|PIA|
PIA|SYZ,|SYZ|IST|ORD|PIA|
PIA|SZG,|SZG|IST|ORD|PIA|
PIA|TBZ,|TBZ|IST|ORD|PIA|
PIA|TGD,|TGD|IST|ORD|PIA|
PIA|TIA,|TIA|IST|ORD|PIA|
PIA|TIF,|TIF|IST|ORD|PIA|
PIA|TIP,|TIP|IST|ORD|PIA|
PIA|TLL,|TLL|VNO|CPH|YYZ|ORD|PIA|
PIA|TLS,|TLS|IST|ORD|PIA|
PIA|TRN,|TRN|IST|ORD|PIA|
PIA|TUN,|TUN|IST|ORD|PIA|
PIA|TXL,|TXL|EWR|ORD|PIA|
PIA|UFA,|UFA|IST|ORD|PIA|
PIA|VAS,|VAS|SAW|VIE|ORD|PIA|
PIA|VCE,|VCE|IST|ORD|PIA|
PIA|YNB,|YNB|IST|ORD|PIA|
PIA|ZAG,|ZAG|IST|ORD|PIA|
PIA|MGQ,|MGQ|JIB|IST|ORD|PIA|
PIA|CPT,|CPT|JNB|DKR|IAD|ORD|PIA|
PIA|MBA,|MBA|JRO|IST|ORD|PIA|
PIA|NDJ,|NDJ|KAN|IST|ORD|PIA|
PIA|CMB,|CMB|MLE|IST|ORD|PIA|
PIA|ADE,|ADE|SAH|IST|ORD|PIA|
